,logFC,AveExpr,t,P.Value,adj.P.Val,B
TBC1D3I,-0.955486078,3.537496514,-3.079326948,0.003828787,0.028388674,-2.2945907
WWP2,0.816079688,6.049141416,3.079244059,0.003829638,0.028391933,-2.294795285
CRYZ,-0.519682263,9.143486593,-3.078174135,0.003840642,0.028460252,-2.297435756
TMEM192,-0.272707141,8.698379836,-3.077831188,0.003844176,0.028469109,-2.298282003
PRR14,-0.817383243,2.774639394,-3.07759782,0.003846582,0.028480813,-2.298857824
DYSF,0.747414307,3.843609538,3.077350972,0.003849129,0.02848438,-2.299466875
CDH5,0.511077258,7.397565654,3.077085893,0.003851866,0.02849588,-2.300120877
YME1L1,-0.321193089,11.22264345,-3.076971469,0.003853047,0.02849588,-2.300403175
SEC23A,-0.469749093,7.889755223,-3.076951553,0.003853253,0.02849588,-2.300452307
SSBP2,0.799875232,5.403175045,3.076761209,0.00385522,0.028501932,-2.300921891
SMIM15,-0.298424883,8.796966617,-3.076468767,0.003858244,0.028515117,-2.301643319
ADAP2,-0.496465239,7.393316754,-3.075980748,0.003863295,0.028546329,-2.302847128
STARD5,-0.654324595,4.51882622,-3.075635576,0.003866871,0.028569693,-2.303698504
KDSR,0.641926614,3.441284369,3.075315613,0.003870189,0.028583865,-2.304487649
ZNF608,0.763185138,7.580960927,3.073772611,0.003886227,0.028678906,-2.308292577
USP2,-0.39278799,9.686217796,-3.073611922,0.0038879,0.028688188,-2.30868876
TRIM66,0.745154893,7.060138343,3.073211911,0.00389207,0.02870667,-2.30967494
TPCN2,-0.644264801,3.784982801,-3.073103438,0.003893201,0.028711944,-2.309942353
PANK4,-0.906753301,2.305892287,-3.072801229,0.003896355,0.02872906,-2.31068735
UPF1,-0.83875982,3.675545194,-3.072174807,0.0039029,0.028763562,-2.312231445
RAP2C-AS1,-0.252816315,8.103385549,-3.071060751,0.003914566,0.028832507,-2.314977069
RGS10,-0.724149866,5.009205327,-3.070374559,0.003921767,0.028868814,-2.316667917
DLD,-0.448006858,4.516928727,-3.070351935,0.003922005,0.028868814,-2.316723661
DGCR11,-0.380631704,6.008851649,-3.070284865,0.00392271,0.028868814,-2.316888915
DPF2,-0.328560135,8.679132921,-3.070232265,0.003923262,0.028868814,-2.317018516
ZNF704,0.418567407,6.654035406,3.069852205,0.003927258,0.02889205,-2.317954898
DDB2,0.4877211,4.774367899,3.069777921,0.003928039,0.028894716,-2.31813791
PDE10A,0.340622355,9.524622828,3.069624776,0.003929651,0.028900405,-2.318515201
SIPA1L3,-0.642232003,5.019361357,-3.06915971,0.003934548,0.028930252,-2.319660875
B3GNT5,0.64100717,5.429754366,3.068920293,0.003937071,0.02894572,-2.320250632
BRWD3,-0.641158995,2.902006169,-3.068787193,0.003938475,0.028952952,-2.320578485
DCTN6,-0.346540308,9.506462561,-3.068444625,0.003942089,0.028964086,-2.321422263
BRAF,-0.406147268,6.634527423,-3.06828299,0.003943795,0.028973538,-2.321820365
DCBLD2,0.44251698,7.822058487,3.068038635,0.003946377,0.028989413,-2.322422184
DENND4B,-0.585766915,3.285824144,-3.067474182,0.003952345,0.029020892,-2.323812255
ADAM9,-0.549780247,4.893574359,-3.067271204,0.003954493,0.029032336,-2.324312088
EMSY,-0.419182174,6.625147748,-3.0672439,0.003954782,0.029032336,-2.324379324
TMEM132B,-0.591940824,5.020337635,-3.066726658,0.003960262,0.029063556,-2.325652938
DCAF8,0.889829556,4.546638248,3.066082955,0.003967092,0.029101291,-2.327237761
CHID1,-0.396930531,7.63026465,-3.065746884,0.003970662,0.029111999,-2.328065102
PELO,-0.706785963,7.329118189,-3.065637157,0.003971828,0.02911219,-2.328335217
SNRNP70,-0.514044192,6.920626672,-3.065585597,0.003972377,0.02911219,-2.328462141
JADE2,-0.371658394,5.891324104,-3.065531767,0.003972949,0.029113159,-2.32859465
FBXO28,-0.297039084,9.623814314,-3.065493764,0.003973353,0.029113159,-2.328688198
ARAP3,0.413197317,7.693980249,3.065190844,0.003976576,0.029130582,-2.329433845
ZNF445,-0.317383075,9.551799092,-3.06343571,0.003995296,0.02923977,-2.333753302
COQ3,-0.766546557,6.957508967,-3.063301727,0.003996729,0.02924715,-2.334082978
RNASEL,-0.514044396,6.89644631,-3.063014766,0.003999799,0.0292603,-2.334789043
ZSCAN23,-0.554502139,6.181577388,-3.062430196,0.004006059,0.029292071,-2.336227248
CYTH2,0.487560546,6.951262926,3.062410948,0.004006265,0.029292071,-2.336274601
TRAFD1,-0.561106526,4.301285374,-3.062252194,0.004007967,0.029301407,-2.336665149
BTG1,-0.879357507,4.2037876,-3.061418142,0.004016919,0.029351297,-2.338716796
COG1,-0.442492304,4.936962076,-3.061271598,0.004018494,0.0293551,-2.339077238
NAV2,0.666908959,9.334021374,3.06126244,0.004018592,0.0293551,-2.339099762
ATF7IP,-0.445829359,4.828114365,-3.061250899,0.004018716,0.0293551,-2.339128149
PABPC4,-0.704525897,7.351194885,-3.061128413,0.004020033,0.029361609,-2.33942941
CEBPA-DT,-0.970204409,2.298409198,-3.061002964,0.004021382,0.029362134,-2.339737948
ZNF337,-0.466306982,7.517168751,-3.06085506,0.004022973,0.029368413,-2.340101705
TOR3A,-0.406973482,7.302583609,-3.060468819,0.004027131,0.029388554,-2.341051586
HMGN1P18,0.633442249,3.793568161,3.059845632,0.004033848,0.02942512,-2.342584033
FOXN3,0.55815399,7.661415524,3.05957911,0.004036724,0.029442984,-2.343239367
FUOM,-0.733188154,4.2765649,-3.058718641,0.004046022,0.029501445,-2.345354886
LINC02177,-0.460127871,6.32635854,-3.0579428,0.004054424,0.029537099,-2.347262038
CERT1,0.336601887,10.61679158,3.057911156,0.004054767,0.029537099,-2.347339818
FABP2,-0.5317987,5.828164075,-3.057759053,0.004056416,0.029545991,-2.347713676
SMAP2,-0.469277919,7.80556178,-3.05767652,0.004057311,0.02954939,-2.347916533
FAHD1,-0.565080378,7.957806154,-3.056870844,0.004066058,0.029592431,-2.349896616
RIOX2,-0.443404403,7.410279471,-3.056350095,0.004071722,0.029626188,-2.351176275
MAILR,0.991086747,3.051594427,3.056000503,0.004075528,0.029641374,-2.352035272
OSBPL5,-0.629773903,3.535082463,-3.05585448,0.004077119,0.029647514,-2.352394054
ACKR4,-0.654888282,7.714499411,-3.055688706,0.004078925,0.02965414,-2.352801349
ZNF582,-0.610171539,4.378022882,-3.055616141,0.004079716,0.02965414,-2.352979634
FAF1,-0.380141196,6.982774151,-3.055478969,0.004081212,0.029660822,-2.353316643
GARS1,-0.331135711,9.533342365,-3.055259346,0.004083608,0.029675109,-2.353856203
TCF4-AS1,0.697206324,4.575863957,3.05507394,0.004085632,0.029686687,-2.35431168
IER3IP1,-0.454392928,6.748955096,-3.054467631,0.004092256,0.029728558,-2.355801055
ARPC1A,-0.322300144,10.21296906,-3.054279322,0.004094316,0.029737255,-2.356263593
LPIN1,-0.921093982,3.738549057,-3.0538221,0.004099321,0.029767335,-2.357386584
SHE,-0.392906022,9.175275407,-3.053548436,0.004102319,0.029782836,-2.358058686
ME3,-0.823766694,4.789686649,-3.053406475,0.004103875,0.029790997,-2.358407321
PDHB,-0.290039301,11.31440569,-3.053055133,0.004107729,0.029812696,-2.359270117
IST1,-0.565609778,7.472374343,-3.052925944,0.004109147,0.029819849,-2.359587356
TRANK1,-0.670137225,3.791488468,-3.052670924,0.004111947,0.029837031,-2.36021356
RNF4,-0.303160209,8.994541426,-3.052311832,0.004115893,0.029856241,-2.361095264
SLC4A8,0.913891727,3.676498926,3.052218416,0.00411692,0.029857411,-2.361324624
ARHGAP44-AS1,0.528222655,7.800118311,3.051684628,0.004122794,0.029893749,-2.36263513
ORMDL1,-0.363040284,6.981567339,-3.051684299,0.004122797,0.029893749,-2.362635937
ARHGAP12,-0.334752746,9.424209837,-3.05075917,0.004132996,0.029951954,-2.364906901
TAF9,-0.41750463,8.848471114,-3.050154836,0.004139671,0.029990875,-2.36639017
FOXS1,0.829751149,6.340161876,3.050103605,0.004140238,0.029991828,-2.366515904
CA12,1.314206049,3.206243922,3.05001247,0.004141245,0.029992827,-2.366739566
CALHM2,-0.505642713,6.821380868,-3.048955649,0.004152947,0.030058266,-2.369332917
SERPINB6,-0.424476079,9.399333433,-3.048881659,0.004153767,0.030058266,-2.369514463
GIMAP4,-0.401622734,9.150081824,-3.048597475,0.00415692,0.030071614,-2.370211725
PEX3,-0.298971597,8.552515513,-3.048516157,0.004157822,0.030074988,-2.370411235
XKR4,-0.531611298,7.742999313,-3.048202542,0.004161305,0.030097021,-2.37118065
SCAMP1-AS1,-0.531845755,5.111204948,-3.048037082,0.004163143,0.03010716,-2.371586566
MAD2L2,-0.461017674,6.663404056,-3.047587628,0.004168141,0.030127506,-2.372689127
STAT5A,-0.562543331,6.763756542,-3.047309286,0.004171238,0.030143579,-2.373371881
RHD,0.924519718,3.54402425,3.046739539,0.004177586,0.030183125,-2.374769319
PPIH,-0.293792255,7.484826479,-3.046549535,0.004179705,0.030195271,-2.375235312
PKD1P6,0.64320138,4.003660338,3.046331193,0.004182141,0.03020338,-2.375770785
HDAC1,-0.329603428,8.894036074,-3.046290805,0.004182592,0.030203473,-2.375869831
ZNF222,-0.424670421,6.025639846,-3.045947823,0.004186422,0.030224801,-2.376710925
TNIP1,0.43436217,9.229182569,3.045371674,0.004192863,0.030263251,-2.378123684
TNFRSF10D,-0.480907338,6.829112586,-3.04535371,0.004193064,0.030263251,-2.37816773
RXRA,-0.297307094,9.658086312,-3.044249992,0.00420543,0.030323941,-2.380873669
C2CD2L,-0.321096796,7.237964084,-3.044147398,0.004206581,0.030328815,-2.381125165
MUC4,-1.148104127,3.863251204,-3.044111377,0.004206985,0.030328815,-2.381213463
P4HB,-0.979308862,2.781994078,-3.043944681,0.004208856,0.030337807,-2.381622081
ZMYM4,0.631953682,4.528242431,3.043403437,0.004214938,0.030363928,-2.382948732
SMUG1,-0.772343445,3.867146275,-3.043183418,0.004217412,0.030370394,-2.383487983
TRIM16,-0.789446726,6.3955454,-3.042965565,0.004219863,0.030374033,-2.384021902
ESR2,-0.778815206,3.126428984,-3.042885297,0.004220767,0.030377366,-2.384218618
RALGPS2-AS1,-0.958299902,2.355091638,-3.042769456,0.004222071,0.030383583,-2.384502509
YY1,-0.538315018,6.254501836,-3.042644691,0.004223476,0.030387574,-2.384808265
FKBP14,-0.329201254,8.744661037,-3.042641979,0.004223507,0.030387574,-2.384814911
TACC1,-0.544024705,5.422911605,-3.042443617,0.004225742,0.030397446,-2.385301009
THBS1-IT1,0.938615841,5.770471086,3.042441966,0.004225761,0.030397446,-2.385305056
NOL8,-0.532686478,6.418130225,-3.042016932,0.004230554,0.030424623,-2.386346564
TOLLIP,-0.787310707,2.659184731,-3.04198959,0.004230862,0.030424623,-2.38641356
ITGA5,0.953473305,3.076110307,3.041800093,0.004233001,0.030433656,-2.386877877
XPO6,0.49117927,5.293999667,3.041473179,0.004236693,0.030450486,-2.387678856
LIMS2,-0.374596665,7.981670424,-3.041208715,0.004239681,0.030465809,-2.38832679
PSMC1,-0.34199371,10.51469256,-3.041168254,0.004240139,0.030465922,-2.388425915
KHDC4,-0.767393382,3.668521949,-3.041020203,0.004241813,0.030471603,-2.388788621
YY1AP1,-0.687682287,4.515176283,-3.040515897,0.004247521,0.03050625,-2.390024023
SIGIRR,-0.695316025,5.294641901,-3.039915384,0.004254327,0.030545589,-2.391494941
ZSCAN12,-0.452520334,6.807391754,-3.039276969,0.004261574,0.030591251,-2.393058508
KCNJ12,-0.507185893,8.011468257,-3.038988946,0.004264847,0.030611561,-2.393763853
PIGX,-0.264881224,7.459117644,-3.038612284,0.004269131,0.030639123,-2.394686205
RASL12,-0.492092085,7.375142018,-3.038036036,0.004275693,0.03066263,-2.396097162
TM9SF3,-0.382915506,10.50821792,-3.038027705,0.004275788,0.03066263,-2.396117559
HMGN5,-0.417149644,5.880427431,-3.037929352,0.004276909,0.03066355,-2.396358361
EFHC1,0.428607068,6.167648059,3.037923085,0.004276981,0.03066355,-2.396373705
GPATCH1,-0.306227438,7.947443987,-3.03780822,0.00427829,0.03066975,-2.396654929
NIPAL4,0.72026379,4.942290127,3.037744746,0.004279014,0.030671751,-2.39681033
PPID,-0.685341814,4.933373668,-3.037454891,0.004282321,0.030689962,-2.397519946
RASSF8-AS1,-0.382690245,5.668401915,-3.03744404,0.004282444,0.030689962,-2.397546508
CYHR1,-0.354837185,8.019297802,-3.037263698,0.004284503,0.030699198,-2.397987995
CDYL,-0.299033943,8.756129181,-3.037142393,0.004285888,0.030700018,-2.398284949
COX6A1,-0.671535336,4.157074848,-3.037111603,0.00428624,0.030700018,-2.398360319
ASB2,-0.650756131,5.333684564,-3.037087238,0.004286518,0.030700018,-2.398419964
VIL1,-0.720082424,3.930222943,-3.036871608,0.004288982,0.030714475,-2.398947799
ZCWPW2,-0.471785318,5.849048043,-3.036736565,0.004290526,0.03072234,-2.399278354
AVL9,-0.63960978,4.172298528,-3.036577971,0.00429234,0.030732135,-2.399666548
ING2,-0.444941685,5.927419221,-3.036272025,0.00429584,0.030750814,-2.400415382
NFYC-AS1,-0.361922645,5.768349907,-3.036168767,0.004297022,0.030752893,-2.400668106
TP53BP1,-0.252606766,9.873932903,-3.035967876,0.004299323,0.030766165,-2.401159772
BAD,-0.58503886,5.851676665,-3.035813763,0.004301089,0.030769894,-2.40153694
CCDC183,-0.970184689,3.916844861,-3.035805588,0.004301182,0.030769894,-2.401556946
ANKRD29,0.549826258,6.97706063,3.035719303,0.004302171,0.030770585,-2.401768109
CRIP1,-0.496666806,7.736392478,-3.034394211,0.004317385,0.030857001,-2.405010527
SMPDL3A,-0.778572854,6.014932851,-3.033980698,0.004322143,0.030884607,-2.406022194
TNFRSF14,-0.449716544,6.188134098,-3.033924024,0.004322796,0.030886069,-2.406160841
RARRES2,-0.637187772,5.932089573,-3.033861949,0.004323511,0.030887977,-2.406312699
RIPK2,-0.325229086,7.121733239,-3.033690511,0.004325485,0.030892657,-2.40673209
MAP1A,0.72430456,12.09669341,3.033339714,0.004329529,0.030911758,-2.407590207
EIF4EBP2,-0.291342237,12.42237989,-3.032813337,0.004335602,0.030936278,-2.408877711
TMEM30B,0.961715678,6.232017088,3.032504816,0.004339166,0.030956797,-2.409632284
DKK3,-0.644222033,9.929889744,-3.032078476,0.004344095,0.030975666,-2.410674938
C19orf12,-0.38520143,7.79454217,-3.03196458,0.004345413,0.030977065,-2.410953467
MECOM,-0.798334819,6.177495131,-3.031524418,0.004350508,0.031010187,-2.412029808
PITPNA-AS1,-0.47841203,5.926114097,-3.031161263,0.004354717,0.031036978,-2.41291777
CHD3,0.503429066,5.975792929,3.03059538,0.004361283,0.03106772,-2.414301301
USP45,-0.563479946,5.450957876,-3.030442156,0.004363062,0.031070768,-2.414675893
CASS4,-0.407497969,6.382842045,-3.030084176,0.004367222,0.031091546,-2.415551013
CRBN,-0.476340653,5.894511584,-3.030074694,0.004367332,0.031091546,-2.415574193
MTRR,-0.983844261,1.772162939,-3.029845549,0.004369997,0.031104095,-2.416134328
VPS54,-0.382379207,7.481655488,-3.029660995,0.004372144,0.031116168,-2.416585444
GRIA1,-0.493597227,7.140175679,-3.029477384,0.004374282,0.031128167,-2.417034239
INTS10,-0.478088998,5.169175781,-3.029420454,0.004374944,0.031129673,-2.417173389
LINC00310,-0.426097065,5.739716434,-3.028855552,0.004381527,0.031163653,-2.418554043
ZNF536,0.615954519,7.06687147,3.028639388,0.004384049,0.031176632,-2.41908232
EHBP1,-0.300585567,8.908694136,-3.028621609,0.004384256,0.031176632,-2.419125767
CAMK2B,0.418458149,7.197161879,3.02821936,0.004388952,0.031193944,-2.420108748
GNB4,-0.449383582,7.873838863,-3.027803484,0.004393812,0.031215618,-2.421124946
SMAD4,-0.655754695,5.728625151,-3.027694456,0.004395087,0.031216106,-2.421391343
PDK2,-0.400233557,6.842867751,-3.027669215,0.004395382,0.031216106,-2.421453015
SYNC,-0.507368924,7.639950549,-3.027576117,0.004396471,0.031218432,-2.421680484
CHMP1B,-0.439435902,9.414167588,-3.027438279,0.004398084,0.031223455,-2.422017259
PPTC7,-0.546896655,5.864734137,-3.027010896,0.004403088,0.031247141,-2.423061411
RBP5,-0.728470398,3.048561728,-3.026778605,0.004405811,0.031258158,-2.423628889
USP37,-0.272715319,9.083749388,-3.02675932,0.004406037,0.031258158,-2.423676
LARGE1,-0.515425842,9.070256676,-3.026474328,0.004409379,0.031274398,-2.424372189
RAB32,-0.550308485,5.914326282,-3.0264389,0.004409794,0.031274398,-2.42445873
RAB33B-AS1,-0.319580086,7.828764517,-3.025957099,0.00441545,0.031292443,-2.42563559
CHRM5,-0.987143062,2.268306087,-3.025951618,0.004415515,0.031292443,-2.425648979
MED14OS,-0.561744489,3.574111206,-3.023381884,0.004445798,0.031455342,-2.431923964
NDUFS2,-0.761857903,7.128473976,-3.023171554,0.004448285,0.031466485,-2.432437421
CNTROB,0.490692645,3.622600371,3.02291456,0.004451326,0.031484766,-2.433064767
SNW1,-0.637295606,5.968154361,-3.022203048,0.004459755,0.031531452,-2.434801462
CAPN2,-0.453638525,8.026754974,-3.021961123,0.004462625,0.031542039,-2.435391909
ZNF22,-0.353757999,8.958842789,-3.021906925,0.004463268,0.031543352,-2.435524181
AGPAT3,-0.376624431,9.678899269,-3.021115571,0.004472667,0.031600068,-2.437455353
CHD4,-0.822350976,3.468349476,-3.020293116,0.004482456,0.031653016,-2.439462099
ATP1B3-AS1,-0.712931256,4.003634165,-3.019951162,0.004486532,0.031675311,-2.44029635
TATDN2,-0.400257567,8.121790805,-3.019819304,0.004488105,0.031679928,-2.440618025
LNX1,-0.847506137,6.295366686,-3.019479252,0.004492163,0.031699239,-2.441447558
TMEM123,-0.32673665,10.38539832,-3.019436012,0.004492679,0.031699239,-2.441553034
MRPS26,-0.3004356,8.705954416,-3.019218919,0.004495272,0.031705102,-2.442082582
SLC35D1,-0.303148541,9.066414659,-3.019062233,0.004497144,0.031711278,-2.442464769
DNAJC2,-0.414920894,6.128144424,-3.019011523,0.00449775,0.031712309,-2.442588458
TMED2,-0.479118772,5.856701201,-3.018962762,0.004498333,0.031713177,-2.442707389
SLC3A2,-0.670219399,3.483565622,-3.018565917,0.004503079,0.031733663,-2.443675295
LINC02955,-0.395785727,4.884400233,-3.016345191,0.004529726,0.031860098,-2.449090215
CCNJ,-0.491353935,6.151723829,-3.016339244,0.004529797,0.031860098,-2.449104713
ERCC1,-0.408617342,5.507396325,-3.01623412,0.004531062,0.031864344,-2.449360982
A2M,-0.457912483,4.905320071,-3.016062649,0.004533127,0.031870514,-2.449778981
LAMP1,-0.343490168,9.461584296,-3.0155626,0.004539151,0.031909619,-2.450997876
UPF3A,0.568788758,5.050426496,3.015449343,0.004540517,0.031915966,-2.451273929
PKP4,0.399066689,7.832351134,3.015391172,0.004541219,0.031917645,-2.451415711
TPPP,-0.357912549,8.939258223,-3.014732843,0.004549165,0.031963726,-2.453020181
PHF13,-0.306100636,7.578109939,-3.014673138,0.004549887,0.031965538,-2.453165681
EDC3,-0.663627484,5.515249241,-3.014491813,0.004552078,0.03197308,-2.453607561
ZNF541,0.773760833,4.284068211,3.014430903,0.004552814,0.03197308,-2.453755991
TECR,-0.562050748,6.732939692,-3.014305842,0.004554327,0.031980443,-2.454060747
CDK20,-0.901409536,2.808000511,-3.014078506,0.004557077,0.031996498,-2.454614708
SUMF2,-0.448849915,7.920857158,-3.013906183,0.004559163,0.032002836,-2.455034602
C4orf54,-1.195531285,6.440343609,-3.013694348,0.004561728,0.032016115,-2.455550752
RANGRF,-0.445032642,6.793012763,-3.013568842,0.004563248,0.03202027,-2.455856544
EHD4-AS1,-0.402181806,5.455802162,-3.013039997,0.00456966,0.032055478,-2.45714498
RYK,-0.303733606,9.767846876,-3.012991731,0.004570246,0.032056325,-2.457262566
SSX2IP,-0.516668162,7.0602879,-3.012802007,0.004572548,0.032069215,-2.457724757
RSL1D1-DT,-0.518454447,3.711992416,-3.012639826,0.004574517,0.032079763,-2.458119834
TFAM,-0.333395566,9.178869232,-3.012090946,0.004581188,0.032113291,-2.45945683
BCL2L1,-0.610727906,6.123924279,-3.012027564,0.004581959,0.032113291,-2.459611212
INTS8,-0.758374603,4.209708772,-3.011879565,0.004583759,0.03212171,-2.459971685
LINC00648,-0.500311406,4.803840442,-3.011534082,0.004587965,0.032142195,-2.460813124
TSC2,0.87391278,8.212980501,3.011524573,0.00458808,0.032142195,-2.460836282
ANKRD16,-0.682180176,5.150364766,-3.011403398,0.004589556,0.032146084,-2.461131395
KLF8,-0.561758163,6.123438828,-3.011223583,0.004591747,0.032151555,-2.461569305
DENND4A,-0.656167891,7.226978628,-3.01096166,0.004594941,0.032164178,-2.462207149
MCPH1,-0.272836948,8.639164451,-3.010784357,0.004597103,0.032172727,-2.462638906
TSPAN5-DT,-0.433553798,5.915209233,-3.010609881,0.004599233,0.032177833,-2.463063762
MTMR10,-0.345466744,6.890916586,-3.009993812,0.004606758,0.032224003,-2.464563796
FBXO24,-1.04484445,1.825260849,-3.00977343,0.004609453,0.032239528,-2.465100348
TRMT10A,-0.639555412,5.180203063,-3.009399508,0.004614029,0.032264988,-2.466010658
CTDSP1,-0.551980449,4.702828058,-3.008960259,0.00461941,0.032292792,-2.467079921
CXCR4,1.013432088,6.680558677,3.008783688,0.004621574,0.032301376,-2.467509719
STX5,-0.619649217,7.018063107,-3.008606845,0.004623743,0.032311342,-2.467940168
ZMYND12,-0.863138357,5.038402668,-3.008533619,0.004624642,0.032312991,-2.468118398
IRF2,-0.269209733,9.001137846,-3.008354976,0.004626834,0.032319427,-2.468553203
ISOC1,-0.359670324,10.35651173,-3.008258494,0.004628018,0.032323487,-2.468788029
LRRK2-DT,-0.810849609,3.794545297,-3.007932787,0.004632019,0.032344878,-2.469580721
MTA2,-0.399934087,8.605866671,-3.0075516,0.004636705,0.032364532,-2.470508375
CCDC90B,-0.388460269,6.289355291,-3.007551164,0.004636711,0.032364532,-2.470509436
LRRC8A,-1.013104013,4.94957375,-3.00749716,0.004637375,0.032365893,-2.470640854
KLF3,-0.289504441,10.30772662,-3.007356506,0.004639106,0.032374695,-2.470983126
ZBTB45,-0.500097503,6.797372994,-3.006885036,0.004644911,0.032408649,-2.472130347
ZNF800,-0.31888433,8.451591792,-3.006140565,0.004654091,0.032462852,-2.473941631
MPZL1,-0.508749066,6.957161375,-3.005595207,0.004660827,0.03250134,-2.475268306
SMIM13,-0.263917108,9.064181545,-3.004912979,0.004669267,0.032548952,-2.476927733
IDH3A,0.827812595,7.985744515,3.004811038,0.004670529,0.032551345,-2.477175673
MIDN,-0.370264601,10.16067606,-3.004809033,0.004670554,0.032551345,-2.477180549
MCRIP2,-0.507927873,7.738251977,-3.004395736,0.004675675,0.032573044,-2.478185705
EIF4G1,-0.644420036,6.854828843,-3.004000507,0.004680577,0.032597474,-2.479146841
LDAH,-0.597861384,3.223241659,-3.003814162,0.00468289,0.032604808,-2.479599975
LINC02208,-1.277007127,4.114631916,-3.003809133,0.004682952,0.032604808,-2.479612205
ADIPOQ,-1.720815015,4.392291059,-3.003678017,0.00468458,0.032612851,-2.479931029
TUSC2,-0.327521509,8.403399507,-3.003524242,0.004686491,0.032622856,-2.48030494
XAB2,-0.330430217,8.743715227,-3.003181482,0.004690751,0.03264183,-2.481138336
OR5T2,-0.432029487,4.995291595,-3.00314452,0.00469121,0.03264183,-2.481228204
MED15,-0.626173073,3.842701162,-3.00311459,0.004691583,0.03264183,-2.481300973
ZNF764,-0.320737467,7.550126118,-3.001950907,0.004706076,0.032723219,-2.484129916
TCF4-AS2,0.454797346,4.481418167,3.001946786,0.004706127,0.032723219,-2.484139931
CCDC22,-0.316312339,7.277341754,-3.001716348,0.004709002,0.032736609,-2.484700052
DDX3X,-0.515069816,7.083441168,-3.001567111,0.004710865,0.032746259,-2.485062786
COL16A1,1.219299251,7.520693363,3.001522784,0.004711419,0.032746805,-2.485170524
PARP8,-0.537043548,7.413983529,-3.001244366,0.004714896,0.032761072,-2.485847206
FBXO22,-0.331142397,8.982748481,-3.001122117,0.004716424,0.032766039,-2.486144316
EPRS1,-0.307698576,11.32967403,-3.00111113,0.004716561,0.032766039,-2.486171017
ZNF524,-0.645895694,5.315992146,-3.00100631,0.004717872,0.032771841,-2.486425761
B3GALT5,0.670269302,6.243551047,3.000425416,0.004725139,0.032815714,-2.487837409
LZTS3,-0.529361326,6.07644917,-3.000001567,0.004730449,0.032842637,-2.48886731
DUBR,0.515192165,4.9567608,2.99996392,0.004730921,0.032842637,-2.488958783
RBM5,-0.595388799,4.361980648,-2.999692944,0.004734318,0.03285961,-2.489617171
MSC-AS1,-0.677840126,3.32579399,-2.999606227,0.004735406,0.032860226,-2.489827859
ZNF75A,-0.371474429,5.467758147,-2.999556142,0.004736035,0.032860226,-2.489949544
OAT,-0.632189999,3.439754428,-2.999533961,0.004736313,0.032860226,-2.490003434
H4C11,-0.529100476,8.405900094,-2.999314422,0.004739069,0.032869425,-2.490536801
C12orf71,-0.391566051,6.991433804,-2.999026336,0.004742687,0.03288934,-2.491236667
ADAMTS6,-0.76092309,6.391550785,-2.99873163,0.004746391,0.032910282,-2.491952572
JUP,0.539162994,5.288881816,2.998282327,0.004752043,0.03293954,-2.493043945
SP2-AS1,-0.556691709,4.375161187,-2.997994549,0.004755667,0.032952772,-2.493742918
RSL1D1,-0.454810899,8.002393822,-2.997968606,0.004755994,0.032952772,-2.493805926
LY6E,-0.572324782,7.721706171,-2.997941029,0.004756341,0.032952772,-2.493872903
NCOA7-AS1,-0.628174213,3.382790147,-2.997380061,0.004763413,0.032991826,-2.495235281
SLC43A3,-0.35117933,6.021124682,-2.997257224,0.004764963,0.032999247,-2.495533585
H2BC5,-0.580530846,7.309755924,-2.997130448,0.004766563,0.033000388,-2.495841445
RBAK,-0.292868593,9.657535534,-2.996999052,0.004768222,0.033000905,-2.496160519
COL6A2,4.291421975,5.985265504,2.996950109,0.00476884,0.033000905,-2.496279367
ZNF423,-0.846184193,5.593726563,-2.996645241,0.004772692,0.033022929,-2.497019644
ALDH5A1,-0.327296868,9.929419361,-2.996286581,0.004777227,0.033041118,-2.49789048
MIR202HG,-0.625098635,3.347376786,-2.996266071,0.004777486,0.033041118,-2.497940278
SLC9A9-AS1,-0.680928389,3.10417349,-2.996235201,0.004777877,0.033041118,-2.498015227
SPART,-0.542128216,4.50482771,-2.996188438,0.004778469,0.033041118,-2.498128762
LINC01747,-0.686739456,2.87276559,-2.996172195,0.004778674,0.033041118,-2.498168198
MMP25-AS1,0.38948307,6.845605937,2.994962967,0.004793998,0.033132083,-2.501103701
PCCA-DT,-0.379834709,5.724033342,-2.994904806,0.004794737,0.033132083,-2.501244873
NEMP2-DT,-0.604395807,3.426420232,-2.994799058,0.004796079,0.033134887,-2.501501548
SNRPA1,-0.389824492,7.441558542,-2.994565833,0.004799041,0.03315203,-2.50206762
RPL7L1,-0.549188959,5.617900047,-2.994396846,0.004801189,0.033162332,-2.502477758
TXK,-1.040612777,4.063328363,-2.994335423,0.004801969,0.033162332,-2.502626832
BVES-AS1,-0.440560387,6.464302445,-2.994087959,0.004805116,0.03317738,-2.503227405
SMNDC1,-0.795592124,3.527388567,-2.993890113,0.004807633,0.033191436,-2.503707538
GTF2H3,-0.353055075,7.548758315,-2.9935492,0.004811973,0.033211428,-2.50453482
PHF1,0.565225059,5.572859932,2.99350266,0.004812566,0.033212195,-2.504647753
CEP135,-0.449460648,7.209756979,-2.993190415,0.004816545,0.03322968,-2.505405411
CFDP1,-0.706396044,3.959828254,-2.992835337,0.004821073,0.033252643,-2.506266941
MITD1,-0.353745102,6.900619316,-2.992816026,0.00482132,0.033252643,-2.506313797
PPP1R16B,1.055841095,2.657107132,2.992765461,0.004821965,0.033253768,-2.506436477
