,logFC,AveExpr,t,P.Value,adj.P.Val,B
AOX1,-2.050501565,5.389527235,-6.850641118,3.79E-08,7.46E-06,8.687245572
P4HA1,-0.919447598,9.030785876,-6.842914715,3.88E-08,7.59E-06,8.663929931
MDH2,-0.652409811,11.9992727,-6.840177898,3.91E-08,7.62E-06,8.655670212
SERPING1,-1.296174686,9.196187809,-6.838416093,3.93E-08,7.64E-06,8.650352818
RANBP6,-0.75089095,9.854736522,-6.830689935,4.03E-08,7.80E-06,8.627031711
CREB3L1,-1.399573333,6.805857971,-6.823891118,4.12E-08,7.93E-06,8.60650653
RNF157,-1.245200995,5.623499268,-6.817941901,4.20E-08,8.02E-06,8.58854378
ZDHHC14,1.036820931,4.902987038,6.814216267,4.25E-08,8.07E-06,8.577293638
SLC31A1,-0.680475165,8.847127998,-6.807746127,4.33E-08,8.16E-06,8.557753911
RNASE1,-1.02869955,8.748960252,-6.797288147,4.48E-08,8.38E-06,8.526165329
NDUFB3,-0.806727013,10.8290929,-6.796908479,4.48E-08,8.38E-06,8.525018403
CKM,-0.883434041,15.06368076,-6.794960323,4.51E-08,8.40E-06,8.51913314
GCHFR,-1.560003576,3.89356768,-6.792988813,4.54E-08,8.40E-06,8.513177079
CDCA2,-2.546076446,6.561229117,-6.792983643,4.54E-08,8.40E-06,8.51316146
PTDSS1,-1.372516554,10.01647113,-6.79267793,4.54E-08,8.40E-06,8.51223786
H4C14,-1.226299006,6.973541062,-6.784527692,4.66E-08,8.57E-06,8.487612721
LARP6,-0.655194992,9.109583364,-6.779012359,4.74E-08,8.70E-06,8.470946336
RPL31,-0.99769966,9.612465096,-6.776941866,4.77E-08,8.72E-06,8.464689174
PID1,-1.206128244,6.741123007,-6.776541503,4.78E-08,8.72E-06,8.463479222
TICAM2-AS1,-1.119578389,4.365009341,-6.771911395,4.85E-08,8.80E-06,8.449485669
FRY-AS1,1.028220268,6.854466766,6.767856467,4.91E-08,8.87E-06,8.437229395
DRAM1,-0.818990228,7.488300871,-6.753783469,5.13E-08,9.22E-06,8.394685079
METTL7A,-0.977980387,8.614932145,-6.75291596,5.15E-08,9.22E-06,8.392062105
RPL12,-0.854810681,11.89176039,-6.749476618,5.20E-08,9.27E-06,8.381662564
TSPEAR-AS1,-2.905584189,3.110145153,-6.749409825,5.20E-08,9.27E-06,8.381460595
NECTIN1,-1.038629402,7.859871888,-6.736629909,5.42E-08,9.61E-06,8.342811684
NCEH1,-1.08691462,9.194592068,-6.736318859,5.42E-08,9.61E-06,8.341870889
MAP4,0.960587158,12.88183046,6.735696719,5.43E-08,9.61E-06,8.339989157
EXTL1,1.129055419,8.293543312,6.731747049,5.50E-08,9.70E-06,8.328042412
C12orf29,-0.948710021,7.287058176,-6.731180067,5.51E-08,9.70E-06,8.32632736
MB,-1.54315398,7.686933574,-6.723582587,5.64E-08,9.90E-06,8.303344078
ZEB1,1.444991888,10.30913033,6.717763032,5.75E-08,1.00E-05,8.28573694
HSF2,-0.765560495,8.49012782,-6.709901036,5.89E-08,1.02E-05,8.261947242
SCARA5,-1.90262014,8.101521598,-6.706920491,5.95E-08,1.03E-05,8.252927444
C7,-1.66688114,12.02807249,-6.705603753,5.97E-08,1.03E-05,8.248942537
FAM229B,-1.13842126,7.320172405,-6.698121959,6.11E-08,1.05E-05,8.226298141
