,logFC,AveExpr,t,P.Value,adj.P.Val,B
TMEM168,-0.478299704,7.663816867,-1.856542959,0.073925658,0.194774639,-4.592025429
STXBP3,-0.546047273,7.604768818,-1.856460536,0.073937766,0.194774639,-4.592160229
FBXO11,-0.470521196,8.56557525,-1.856323594,0.073957888,0.194774639,-4.592384185
SUCO,-0.487331955,8.379804967,-1.856211359,0.073974382,0.194774639,-4.592567723
CRKL,-0.5294428,9.459533115,-1.856124189,0.073987195,0.194774639,-4.592710268
NUP98,-0.449936366,9.587165561,-1.855892329,0.074021285,0.194820929,-4.59308939
LACTB2,-0.814116835,6.894192806,-1.855506712,0.074078012,0.194875674,-4.593719845
PLEKHA3,-0.517590145,7.723841946,-1.855478926,0.074082101,0.194875674,-4.593765269
APBB1,-0.458342318,8.695526691,-1.855253396,0.074115297,0.194912753,-4.594133944
MESP1,-0.606334054,2.754918682,-1.855116494,0.074135453,0.194912753,-4.59435772
ZNF561,-0.459911109,7.159848175,-1.854981207,0.074155377,0.194912753,-4.594578845
OTUB1,-0.414855538,7.681672402,-1.854909056,0.074166005,0.194912753,-4.594696769
NAP1L1,-0.555672312,10.44365014,-1.854897749,0.07416767,0.194912753,-4.59471525
RGS10,-0.938036306,3.742232083,-1.854839559,0.074176243,0.194912753,-4.594810353
P2RY1,-0.692864344,5.764290925,-1.854726989,0.074192828,0.194921277,-4.594994327
PPFIA1,-0.380516441,8.62917888,-1.854514594,0.074224131,0.194935877,-4.59534142
SUN2,-0.494352887,8.705505161,-1.854508216,0.074225071,0.194935877,-4.595351843
ZNF783,0.545334266,5.775391258,1.854329087,0.07425148,0.194970187,-4.595644551
HSPB2,-0.642178327,8.180739809,-1.854145499,0.074278554,0.195006231,-4.59594452
EIF4G3,-0.424714667,9.494877005,-1.853935844,0.074309483,0.195052381,-4.596287054
TMEM50A,-0.617125721,8.147794034,-1.85372068,0.074341237,0.195088469,-4.596638558
RNF166,-0.399754498,5.594793594,-1.853661733,0.074349938,0.195088469,-4.596734851
SATL1,-0.634150573,5.816205342,-1.853537224,0.07436832,0.195101662,-4.596938236
RPL23,-0.634578643,10.4655047,-1.852687542,0.074493868,0.195395945,-4.59832591
BNIP2,-0.579287945,9.156891042,-1.852525218,0.074517874,0.195417551,-4.598590955
MRPS18A,-0.437592223,7.450794964,-1.852411833,0.074534646,0.195417551,-4.598776082
MGST2,-0.533571738,7.951682343,-1.852360553,0.074542232,0.195417551,-4.598859807
SMIM15,-0.586075335,7.072211966,-1.852148237,0.07457365,0.19546484,-4.599206429
ZNF576,-0.449941263,5.498193789,-1.851815727,0.074622876,0.195540585,-4.599749218
RPL23A,-0.598301049,10.33018454,-1.851600922,0.074654691,0.195572,-4.600099825
MRPL15,-0.579337437,8.756796301,-1.851507128,0.074668587,0.195573335,-4.600252908
FOXJ2,-0.392314312,8.330983345,-1.851342487,0.074692985,0.195574933,-4.600521605
H1-4,-0.448900806,8.903577717,-1.851322342,0.07469597,0.195574933,-4.600554481
NCAM1,-0.555842454,11.82421498,-1.851035182,0.074738541,0.195651333,-4.601023083
FBXL3,-0.626972492,8.611676009,-1.850719329,0.07478539,0.19567408,-4.601538443
CCDC198,0.937714821,1.567848773,1.850628279,0.074798899,0.19567408,-4.601686992
LYRM7,-0.656041119,8.759921273,-1.850533003,0.074813038,0.19567408,-4.60184243
TEF,0.529289097,8.233128866,1.850508044,0.074816743,0.19567408,-4.601883149
EIF5B,-0.527736296,10.38742076,-1.850368179,0.074837504,0.19567408,-4.602111317
ZNF609,-0.386684943,8.666604488,-1.850345361,0.074840891,0.19567408,-4.602148539
