"","adj.P.Val","P.Value","t","B","logFC"
"SNAI1",0.6754,0.16598993,-1.4619925,-5.0041,-0.40462632
"USP1",0.6754,0.16602194,-1.4618739,-5.0042,-0.42077883
"RNF220",0.6754,0.16603294,1.4618331,-5.0043,0.391246
"SCYL3",0.6755,0.1661166,1.4615234,-5.0046,0.58646237
"DVL3",0.6757,0.16621671,1.4611529,-5.0051,0.61080908
"FAM198B",0.6757,0.16628374,1.460905,-5.0054,0.33087846
"SLC4A2",0.6757,0.16632755,1.460743,-5.0056,0.4828417
"SETD3",0.6757,0.16640909,1.4604415,-5.006,0.24863942
"ALOX5AP",0.6757,0.16641605,-1.4604158,-5.006,-0.61718165
"KCTD13",0.6757,0.16651312,1.4600571,-5.0065,0.48913235
"PRR19",0.6757,0.16651443,-1.4600523,-5.0065,-0.37404617
"KIR2DS3",0.6762,0.16668724,-1.4594142,-5.0073,-0.45828285
"SPG20",0.6763,0.16675306,-1.4591713,-5.0076,-0.36556088
"HHIPL1",0.6766,0.16690471,-1.458612,-5.0083,-0.49621372
"TOR4A",0.6766,0.16698535,1.4583147,-5.0087,0.61837396
"ZBTB4",0.6766,0.1669964,1.458274,-5.0088,0.32044478
"ABCF2",0.6766,0.16713143,1.4577765,-5.0094,0.34630606
"SPEG",0.6766,0.1672893,1.4571953,-5.0101,0.32637552
"SLC26A1",0.6766,0.16730679,-1.457131,-5.0102,-1.24274994
"ABHD5",0.6766,0.16730842,-1.457125,-5.0102,-0.50064462
"WDR13",0.6766,0.16730899,1.4571229,-5.0102,0.26149738
"STX1A",0.6766,0.16738872,-1.4568296,-5.0106,-0.94586691
"MAATS1",0.6766,0.16743037,1.4566764,-5.0108,0.47103196
"PWP1",0.6766,0.16745084,1.4566011,-5.0109,0.29143084
"CYP4X1",0.6766,0.16749218,-1.4564491,-5.0111,-0.31976269
"MRPL24",0.6766,0.16754589,-1.4562517,-5.0113,-0.24341741
"CAMP",0.6766,0.16760687,1.4560276,-5.0116,1.15782539
"SLC5A1",0.6766,0.16764571,-1.455885,-5.0118,-0.49027222
"TUBB4A",0.6766,0.16767434,-1.4557798,-5.0119,-1.08311701
"MRPS18A",0.6767,0.16779899,-1.4553221,-5.0125,-0.51095001
"SRSF9",0.6767,0.16784103,-1.4551678,-5.0127,-0.27185386
"HDAC1",0.6767,0.16786293,-1.4550875,-5.0128,-0.23613354
"RAD9A",0.677,0.16799653,1.4545974,-5.0134,0.46494164
"PTP4A1",0.677,0.16806498,-1.4543465,-5.0137,-0.80535344
"LSM10",0.677,0.16808978,-1.4542556,-5.0138,-0.27179738
"ABHD17B",0.677,0.1681366,-1.4540839,-5.014,-1.59363027
"RRP12",0.6771,0.16822478,1.4537609,-5.0144,0.72473492
"PARP6",0.6771,0.16824958,-1.4536701,-5.0146,-0.33552152
"LIN9",0.6771,0.16831291,1.4534382,-5.0148,0.3786325
"CAP2",0.6773,0.16850998,1.452717,-5.0158,0.38108375
"RAB20",0.6773,0.16851391,1.4527026,-5.0158,0.36554778
"MTMR6",0.6779,0.16876451,-1.4517866,-5.0169,-0.74799538
"CHST13",0.6781,0.16886966,-1.4514026,-5.0174,-0.89628405
"FRAS1",0.6787,0.1690537,1.4507309,-5.0183,0.73848692
"ST3GAL3",0.6787,0.16912932,1.4504551,-5.0186,0.45894137
"NLRX1",0.6787,0.1691588,1.4503477,-5.0187,0.36589821
"CUX1",0.6792,0.16938767,1.4495137,-5.0198,0.8264303
"FASTKD5",0.6792,0.16947601,1.449192,-5.0202,0.29627179
"NFATC4",0.6792,0.16951735,-1.4490416,-5.0204,-0.9041065
"SAMD1",0.6792,0.16954844,1.4489284,-5.0205,0.81099457
"PROSC",0.6792,0.16958882,1.4487815,-5.0207,0.24022511
"RGS9BP",0.6792,0.16964764,-1.4485675,-5.021,-0.7778878
"GPANK1",0.6792,0.16968161,1.448444,-5.0211,0.44739483
"GATAD1",0.6794,0.16981002,1.4479772,-5.0217,0.32813688
"C1orf54",0.6794,0.16983222,-1.4478965,-5.0218,-0.45721252
"UTP14C",0.6795,0.1699006,1.447648,-5.0221,0.26905718
"TBC1D10B",0.6795,0.16997425,1.4473805,-5.0225,0.45250514
"CTU1",0.6798,0.17009714,-1.4469344,-5.023,-0.5056105
"SAP30L",0.6803,0.17027603,-1.4462855,-5.0238,-0.46144842
"DGKZ",0.6808,0.17043259,1.445718,-5.0246,0.62114827
"MKNK1",0.6809,0.17054771,1.445301,-5.0251,0.47111267
"NFS1",0.6809,0.17058589,1.4451628,-5.0253,0.86793969
"TMEM184B",0.6809,0.17061174,1.4450692,-5.0254,0.44309625
"LHPP",0.6809,0.17067956,1.4448237,-5.0257,0.62824071
"NPTN",0.6809,0.17071134,-1.4447087,-5.0258,-1.25205719
"IL27RA",0.6809,0.1708377,-1.4442516,-5.0264,-0.40676855
"CLDN2",0.6809,0.17094957,1.4438472,-5.0269,0.61387418
"SLC43A1",0.6809,0.17095357,-1.4438327,-5.0269,-0.62541626
"NDUFAB1",0.6809,0.17098417,-1.4437222,-5.0271,-0.21408522
"LMCD1",0.6809,0.17100588,-1.4436437,-5.0272,-0.62256752
"ZNF485",0.6809,0.17110427,-1.4432883,-5.0276,-0.78376729
"ABCC11",0.6809,0.171128,-1.4432026,-5.0277,-0.58590834
"SMO",0.6809,0.17116159,1.4430813,-5.0279,0.7182586
"ITPKC",0.681,0.17126221,1.4427181,-5.0283,1.40757051
"CACNB2",0.681,0.17130764,-1.4425542,-5.0285,-0.50391944
"LZIC",0.6813,0.17146994,1.4419689,-5.0293,0.3028449
"CRIPT",0.6815,0.17158634,-1.4415494,-5.0298,-0.37630153
"UPF3A",0.6816,0.17165189,1.4413132,-5.0301,0.51646806
"AHNAK",0.6817,0.17180664,1.4407561,-5.0308,0.3578445
"C22orf39",0.6817,0.17189142,-1.440451,-5.0312,-0.29273305
"RPL10A",0.6817,0.17194026,-1.4402753,-5.0314,-0.52807503
"MYO5C",0.6817,0.1720014,1.4400554,-5.0317,0.47795897
"ELMSAN1",0.6817,0.17200358,1.4400476,-5.0317,0.33402258
"NFATC3",0.6817,0.17207233,1.4398004,-5.032,0.45154735
"KBTBD3",0.6817,0.17211288,-1.4396547,-5.0322,-0.42885677
"STON1",0.6817,0.17216261,1.439476,-5.0324,0.68649835
"PAFAH1B1",0.6817,0.17218826,1.4393838,-5.0325,0.30437914
"SLC2A11",0.6817,0.17229248,1.4390095,-5.033,0.51445589
"C15orf40",0.6817,0.1723049,-1.4389649,-5.033,-0.68840193
"POLR3A",0.6817,0.17231393,1.4389325,-5.0331,0.34313317
"ALG11",0.6817,0.17234811,1.4388098,-5.0332,0.37260186
"PSME1",0.6817,0.17239899,-1.4386272,-5.0334,-1.08219887
"CCL1",0.6817,0.17244814,-1.4384508,-5.0337,-0.34067455
"N4BP2L1",0.6817,0.1724746,-1.4383558,-5.0338,-0.47332203
"NLK",0.6827,0.17284885,-1.4370144,-5.0355,-0.91387698
"PRMT9",0.6827,0.1729098,-1.4367962,-5.0357,-0.42929624
"EXOC3L1",0.6827,0.17292552,-1.4367399,-5.0358,-0.46190661
"SP140",0.6827,0.17302469,-1.436385,-5.0362,-0.49043552
"CDK18",0.6827,0.17308123,1.4361827,-5.0365,0.4126029
"MRPS15",0.6827,0.1732052,-1.4357394,-5.037,-0.25111792
"ZNF383",0.6827,0.17322771,-1.4356589,-5.0371,-0.35544047
"ZNF69",0.6827,0.17324687,1.4355904,-5.0372,0.76844211
"TIMM23",0.6827,0.17329171,-1.4354302,-5.0374,-0.20959396
"ERMAP",0.6827,0.17333309,1.4352823,-5.0376,0.59531296
"HPCAL1",0.6827,0.17333535,-1.4352742,-5.0376,-0.26159311
"P2RX1",0.6827,0.17335281,1.4352119,-5.0377,0.64117312
"MYEF2",0.6831,0.17350359,-1.4346734,-5.0384,-0.32710416
"ZNF324",0.6835,0.17366386,1.4341015,-5.0391,0.78573747
"RALGAPA1",0.6835,0.17376544,1.4337392,-5.0395,0.26882873
"MAFG",0.6835,0.17381989,1.4335451,-5.0398,0.68057308
"UBE2D3",0.6835,0.17384579,-1.4334528,-5.0399,-0.31938906
"RPS18",0.6835,0.17396878,-1.4330146,-5.0404,-0.35524672
"TTC9C",0.6835,0.17401343,-1.4328555,-5.0406,-0.8791842
"SSH3",0.6835,0.17408042,1.432617,-5.0409,0.34443206
"UBA1",0.6835,0.17410356,1.4325346,-5.041,0.39539277
"LRPAP1",0.6835,0.17420372,1.4321782,-5.0415,0.25030556
"IL17D",0.6835,0.17421758,1.4321289,-5.0416,0.74372774
"SPOCK2",0.6836,0.17432166,-1.4317587,-5.042,-0.50801704
"PANX1",0.6836,0.17444815,1.431309,-5.0426,0.9281478
"GLRX2",0.6836,0.17455649,-1.4309241,-5.0431,-0.56875566
"LIX1L",0.6836,0.17462081,-1.4306956,-5.0433,-0.2709109
"CLDN5",0.6836,0.17463629,-1.4306407,-5.0434,-0.44920461
"FAM53B",0.6836,0.17472008,1.4303432,-5.0438,1.09364783
"CCDC69",0.6836,0.1747771,1.4301409,-5.044,0.33278865
"ICAM4",0.6836,0.1748661,1.4298252,-5.0444,0.69694644
"ZNF800",0.6836,0.1748879,-1.4297478,-5.0445,-0.33909262
"SEC24C",0.6836,0.17496088,1.4294891,-5.0448,0.30853407
"FGA",0.6836,0.17497604,-1.4294353,-5.0449,-0.56578665
"BORCS5",0.6836,0.1749794,1.4294234,-5.0449,1.02853052
"UBE2C",0.6836,0.17508796,1.4290387,-5.0454,1.07453678
"MAP1S",0.6836,0.17512082,1.4289223,-5.0455,0.30242675
"BIRC6",0.6836,0.17513996,1.4288545,-5.0456,0.27954182
"TPST1",0.6836,0.17515981,-1.4287841,-5.0457,-0.36570039
"POU2F1",0.6836,0.17530872,1.4282569,-5.0464,0.61204631
"VKORC1",0.6836,0.17531607,-1.4282309,-5.0464,-0.67397769
"TSPAN18",0.6836,0.17532829,1.4281876,-5.0465,0.45214498
"DCUN1D3",0.6836,0.17536491,-1.428058,-5.0466,-0.41851607
"KIAA0232",0.6836,0.17536671,1.4280517,-5.0466,0.30774084
"SEMA3F",0.6836,0.17551047,-1.4275432,-5.0473,-1.01120823
"TPD52",0.6836,0.17556714,1.4273428,-5.0475,0.7774661
"CPSF3L",0.6836,0.17561502,1.4271736,-5.0477,0.29499781
"RPS20",0.6836,0.17565516,-1.4270317,-5.0479,-0.32580216
"ZP3",0.6836,0.17568461,1.4269277,-5.048,1.39733668
"MIER2",0.6836,0.17572541,1.4267835,-5.0482,0.26875156
"RAB1B",0.6836,0.17576498,1.4266438,-5.0484,0.3377826
"MPL",0.6836,0.17596016,1.4259547,-5.0492,0.59872325
"CDC27",0.6836,0.17597092,-1.4259168,-5.0493,-0.35564691
"DIP2C",0.6836,0.17599319,1.4258382,-5.0494,0.4477668
"PQLC3",0.6836,0.1760824,-1.4255235,-5.0498,-0.28397617
"RPL23A",0.6836,0.17608913,-1.4254998,-5.0498,-0.45688876
"OR1A2",0.6836,0.17610857,-1.4254313,-5.0499,-0.67240916
"WSB1",0.6836,0.17617315,-1.4252036,-5.0502,-0.55139831
"ACP2",0.6836,0.17618651,-1.4251565,-5.0502,-0.41408456
"LGALS8",0.6836,0.17621579,1.4250533,-5.0504,0.99702257
"TMEM65",0.6836,0.1762232,-1.4250272,-5.0504,-0.59715262
"SLC2A14",0.6836,0.17624997,-1.4249328,-5.0505,-0.62668945
"KLHL23",0.6836,0.17631969,-1.4246872,-5.0508,-0.29743413
"SLC22A17",0.6838,0.17641314,1.4243581,-5.0512,0.31203474
"ACKR1",0.6838,0.17653887,1.4239155,-5.0518,1.01033397
"PRKAA1",0.6838,0.17655649,1.4238535,-5.0518,0.2037149
"RABGGTA",0.6841,0.17670007,-1.4233485,-5.0525,-0.36521662
"TIPARP",0.6842,0.17685766,-1.4227945,-5.0532,-0.44331018
"AVEN",0.6842,0.17688529,-1.4226975,-5.0533,-0.3647875
"PCDHGC4",0.6842,0.17688725,-1.4226906,-5.0533,-1.43771882
"CIART",0.6842,0.17705738,1.4220931,-5.054,0.95120149
"RALGAPB",0.6842,0.17725308,-1.4214064,-5.0549,-0.5406167
"MAN2C1",0.6842,0.1772974,1.421251,-5.0551,0.41376846
"OCIAD1",0.6842,0.17729931,-1.4212443,-5.0551,-0.53000874
"DUSP23",0.6842,0.17737908,-1.4209647,-5.0554,-0.39053452
"HIST1H3D",0.6842,0.17738116,1.4209574,-5.0554,0.53574332
"GADD45GIP1",0.6842,0.17742398,-1.4208073,-5.0556,-0.71891792
"CLEC16A",0.6842,0.17742487,1.4208042,-5.0556,0.27058048
"VPS36",0.6842,0.17747639,-1.4206236,-5.0558,-0.44966499
"PLAUR",0.6842,0.17748764,-1.4205842,-5.0559,-1.41618649
"ZNF182",0.6842,0.17753706,-1.4204111,-5.0561,-0.60189838
"PTPRN2",0.6842,0.17756048,-1.4203291,-5.0562,-0.32386951
"PLA2G10",0.6842,0.17759685,1.4202017,-5.0564,1.69067964
"ELMOD3",0.6843,0.17789689,-1.4191519,-5.0577,-0.29303667
"UVSSA",0.6843,0.17791047,1.4191044,-5.0577,0.44232164
"CHGB",0.6843,0.17795153,-1.4189608,-5.0579,-0.73378895
"BCAT2",0.6843,0.17799066,-1.418824,-5.0581,-0.38607659
"SAR1B",0.6843,0.17804284,-1.4186417,-5.0583,-0.32169955
"TRIM26",0.6843,0.17805061,1.4186145,-5.0583,0.36326772
"HIF1A",0.6843,0.17805753,-1.4185903,-5.0584,-1.06822103
"PYGL",0.6843,0.17813135,-1.4183325,-5.0587,-0.26052141
"ZHX3",0.6843,0.17822686,1.4179989,-5.0591,0.32413773
"ACSF2",0.6843,0.1782487,-1.4179227,-5.0592,-0.426966
"MTMR4",0.6843,0.17847507,1.4171328,-5.0602,0.39116145
"SLC6A12",0.6843,0.17852718,1.4169511,-5.0604,1.46100445
"NDUFA7",0.6843,0.17859601,-1.4167112,-5.0607,-0.34541808
"GZF1",0.6843,0.17860209,1.41669,-5.0607,0.36662228
"PHF21B",0.6843,0.17862473,1.4166111,-5.0608,0.73801381
"MTHFD2",0.6843,0.17869957,-1.4163503,-5.0611,-0.37263565
"EIF5A2",0.6843,0.17889218,1.4156796,-5.062,0.5235666
"CCT8",0.6843,0.17892562,1.4155632,-5.0621,0.24402996
"PKD1L1",0.6843,0.17894424,-1.4154984,-5.0622,-0.53683827
"TAGLN2",0.6843,0.17896322,-1.4154324,-5.0623,-0.70056553
"CERS2",0.6843,0.1789803,-1.415373,-5.0623,-0.28090434
"TRERF1",0.6843,0.17901274,-1.4152601,-5.0625,-0.40332779
"MFAP3",0.6843,0.17902438,-1.4152196,-5.0625,-0.39688837
"AMDHD2",0.6843,0.17903362,1.4151875,-5.0626,0.48960939
"SERPINA4",0.6843,0.17903405,-1.415186,-5.0626,-0.39930364
"COX5A",0.6844,0.17914292,-1.4148074,-5.063,-0.23078894
"ZFPM1",0.6844,0.17915356,1.4147704,-5.0631,0.36506101
"PRKCD",0.6844,0.17920859,-1.4145791,-5.0633,-0.38381375
"HSD17B7",0.6847,0.17945062,1.4137384,-5.0644,0.57229544
"MAP4K5",0.6847,0.17954624,-1.4134065,-5.0648,-0.2565182
"TECTA",0.6847,0.17955094,1.4133902,-5.0648,0.74640711
"APOBEC3C",0.6847,0.17956127,1.4133543,-5.0648,0.60350283
"PTPN7",0.6847,0.17956315,-1.4133478,-5.0648,-0.57543785
"ZMAT3",0.6847,0.17967047,1.4129755,-5.0653,0.4111336
"PPIL1",0.6847,0.17967855,-1.4129475,-5.0653,-1.44817278
"PUS7",0.6847,0.17979354,-1.4125488,-5.0658,-0.33014284
"OSCP1",0.6847,0.17981861,1.4124619,-5.0659,0.68195636
"ASH1L",0.6847,0.17991527,-1.412127,-5.0664,-0.81971056
"HNRNPF",0.6847,0.17994734,1.4120159,-5.0665,0.26560061
"CALCRL",0.6847,0.17995509,-1.411989,-5.0665,-0.49904963
"PPFIBP1",0.685,0.18018613,1.4111892,-5.0675,0.41554068
"STAMBPL1",0.685,0.18022224,-1.4110643,-5.0677,-0.24940728
"GPR15",0.6851,0.18031896,-1.4107297,-5.0681,-0.56031114
"RBMY1B",0.6851,0.18036776,-1.410561,-5.0683,-0.73427349
"RCAN3",0.6852,0.18044717,-1.4102865,-5.0686,-0.45824204
"MAP3K14",0.6853,0.18052576,-1.410015,-5.069,-0.33239956
"POU2F3",0.6855,0.18061283,-1.4097143,-5.0693,-1.60272756
"SLC35A3",0.6857,0.18076519,-1.4091883,-5.07,-0.34257327
"RPS27L",0.6857,0.18076941,-1.4091737,-5.07,-0.34229884
"ID1",0.6857,0.18084719,1.4089054,-5.0703,0.984229
"CLTC",0.6857,0.18091292,-1.4086787,-5.0706,-0.88594923
"RASSF9",0.6857,0.18097391,1.4084684,-5.0709,0.61813829
"CTSO",0.6857,0.1810042,-1.408364,-5.071,-0.47318588
"PRELID3A",0.6857,0.18107237,-1.408129,-5.0713,-0.53473368
"DNAL1",0.6857,0.18112299,-1.4079546,-5.0715,-0.70943812
"HEMGN",0.6857,0.18114379,-1.4078829,-5.0716,-1.02285882
"ARL6IP4",0.6857,0.18123485,-1.4075693,-5.072,-0.29918371
"SNX17",0.6857,0.18127603,1.4074275,-5.0721,0.2649264
"SLCO1A2",0.6857,0.18127922,-1.4074165,-5.0722,-0.47870815
"EIF2B3",0.6857,0.18138874,-1.4070396,-5.0726,-0.39403917
"MIEN1",0.6858,0.18153971,-1.4065202,-5.0733,-0.41680567
"EFR3A",0.6858,0.18167183,1.406066,-5.0738,0.19849187
"ZDHHC9",0.6858,0.18170288,-1.4059594,-5.0739,-0.40946143
"SNRPG",0.6858,0.18172824,-1.4058722,-5.0741,-0.24181715
"MDC1",0.6858,0.18173165,1.4058605,-5.0741,0.31632407
"CHPF2",0.6858,0.18174595,1.4058114,-5.0741,0.33363115
"MICU1",0.6858,0.18179283,1.4056503,-5.0743,0.35016655
"CD63",0.6858,0.18181523,-1.4055734,-5.0744,-0.32064579
"SUMO2",0.6861,0.18201968,-1.4048716,-5.0753,-0.71728678
"KIAA0101",0.6861,0.18215569,1.404405,-5.0759,1.5062928
"IL16",0.6861,0.18219662,-1.4042647,-5.076,-0.61504081
"RPS5",0.6861,0.18219915,-1.404256,-5.076,-0.28250832
"TOMM7",0.6861,0.18220993,-1.404219,-5.0761,-0.20495083
"ST5",0.6861,0.18223175,1.4041442,-5.0762,0.39773457
"RBPJ",0.6861,0.18231275,-1.4038666,-5.0765,-0.43952848
"C11orf71",0.6861,0.18231821,-1.4038479,-5.0765,-0.34313264
"MYBBP1A",0.6861,0.18243371,1.4034522,-5.077,0.78388537
"CNTNAP5",0.6861,0.1824509,-1.4033934,-5.0771,-0.51990554
"C17orf80",0.6863,0.18260121,1.4028788,-5.0777,0.42662251
"EBF1",0.6863,0.18264356,-1.4027339,-5.0779,-0.43421111
"DNASE2",0.6863,0.18276635,1.4023139,-5.0784,0.30665305
"HCK",0.6873,0.18319152,-1.4008613,-5.0802,-0.66142696
"MARS",0.6873,0.18324998,1.4006618,-5.0805,0.199815
"ZCCHC8",0.6873,0.18325766,-1.4006356,-5.0805,-0.52854093
"RAB40C",0.6873,0.18327966,1.4005605,-5.0806,1.08221756
"MMP12",0.6883,0.18367413,-1.3992158,-5.0822,-0.62766288
"FBLN5",0.6883,0.18368757,-1.3991701,-5.0823,-0.41527824
"ACTN4",0.6883,0.183714,1.3990801,-5.0824,0.36859196
"SSTR2",0.6883,0.18375613,-1.3989366,-5.0826,-0.31602458
"GPRC5B",0.6885,0.18386382,-1.3985701,-5.083,-0.44514807
"SLC35A1",0.6887,0.18410726,-1.3977421,-5.084,-0.23624189
"RAP2A",0.6887,0.18412238,1.3976907,-5.0841,0.3074639
"RPP21",0.6887,0.1841602,-1.3975622,-5.0843,-0.32981187
"LMBR1",0.6887,0.18419448,1.3974457,-5.0844,0.2395734
"AP1G2",0.6887,0.18423501,-1.397308,-5.0846,-0.59297304
"MOK",0.6887,0.1843365,-1.3969633,-5.085,-0.34084436
"KCTD8",0.6887,0.18447213,-1.3965029,-5.0855,-0.44576406
"ZNF26",0.6887,0.18453113,-1.3963027,-5.0858,-0.26801132
"HNRNPM",0.6887,0.184875,1.3951369,-5.0872,0.30693237
"SNRPA1",0.6887,0.18490552,-1.3950335,-5.0873,-0.26170229
"LYRM5",0.6887,0.18497257,-1.3948064,-5.0876,-0.28552004
"GNL2",0.6887,0.18497989,-1.3947816,-5.0877,-0.27500858
"RRAS2",0.6887,0.18498171,1.3947755,-5.0877,0.73495624
"ZNF426",0.6887,0.18523889,1.3939052,-5.0887,0.32316609
"TRIM9",0.6887,0.18531028,-1.3936638,-5.089,-0.51922614
"ZNF830",0.6887,0.18532253,-1.3936223,-5.0891,-0.32054335
"SLC27A3",0.6887,0.18532444,-1.3936159,-5.0891,-0.35759498
"C2orf68",0.6887,0.18534879,1.3935336,-5.0892,0.55195682
"WDR86",0.6887,0.18542911,-1.3932621,-5.0895,-0.93924505
"CD163",0.6887,0.18543593,-1.393239,-5.0895,-0.83906642
"ETV6",0.6887,0.18553204,-1.3929143,-5.0899,-0.54785044
"ADCK2",0.6887,0.18560956,-1.3926525,-5.0903,-0.31602098
"DPY19L2",0.6887,0.18562573,1.3925979,-5.0903,0.52679188
"PI16",0.6887,0.18572915,-1.3922488,-5.0907,-0.94635416
"TLK1",0.6887,0.18589395,-1.3916929,-5.0914,-0.41917955
"NPLOC4",0.6887,0.18595048,1.3915023,-5.0917,0.3438059
"NCR1",0.6887,0.18596697,-1.3914467,-5.0917,-0.61813887
"SOWAHC",0.6887,0.18597189,-1.3914301,-5.0917,-0.24942818
"CHST12",0.6887,0.18598178,1.3913967,-5.0918,0.37412349
"TXNL1",0.6887,0.18598659,-1.3913805,-5.0918,-0.80262821
"SLC25A5",0.6887,0.18599507,1.3913519,-5.0918,0.27966229
"ABCB4",0.6887,0.18603663,1.3912119,-5.092,0.41869786
"UBE2F",0.6887,0.18612752,-1.3909056,-5.0924,-0.26915247
"KLHL2",0.6887,0.1861872,-1.3907046,-5.0926,-0.36411074
"ELMO1",0.6887,0.18624475,-1.3905108,-5.0929,-0.34400126
"OR6T1",0.6887,0.18626616,-1.3904387,-5.093,-0.66390021
"SLC35G2",0.6887,0.18649978,-1.3896525,-5.0939,-0.94471637
"MBD4",0.6887,0.18650197,-1.3896452,-5.0939,-0.27517366
"NOC3L",0.6887,0.18652197,-1.3895779,-5.094,-0.2909609
"TMEM60",0.6887,0.18658831,-1.3893548,-5.0943,-0.29923713
"ASIC1",0.6887,0.18666546,-1.3890955,-5.0946,-0.66717687
"ARHGEF25",0.6887,0.18672528,-1.3888945,-5.0948,-0.82312369
"MEAF6",0.6887,0.18675192,1.388805,-5.0949,0.43878834
"TRAPPC12",0.6887,0.18678863,1.3886817,-5.0951,0.34114507
"CD27",0.6887,0.18679145,-1.3886722,-5.0951,-0.24017299
"TUSC3",0.6887,0.18680053,-1.3886417,-5.0951,-0.7776922
"WDR82",0.6887,0.18683463,1.3885271,-5.0953,0.27320503
"SRP68",0.6887,0.1868675,1.3884168,-5.0954,0.25814098
"NUP62",0.6887,0.18688075,1.3883723,-5.0955,0.24713534
"STK3",0.6887,0.18695205,-1.3881329,-5.0958,-0.28211142
"MRPL47",0.6887,0.18698015,-1.3880386,-5.0959,-0.97092809
"BTK",0.6887,0.18699825,-1.3879779,-5.096,-1.01573415
"UBA6",0.6887,0.18709238,-1.387662,-5.0963,-0.53246096
"LYVE1",0.6887,0.18711823,-1.3875753,-5.0964,-0.96198861
"GTPBP2",0.6887,0.18724288,-1.3871573,-5.097,-0.67102205
"MPV17L2",0.6887,0.18724613,1.3871464,-5.097,0.30103713
"CD58",0.6887,0.18744812,-1.3864696,-5.0978,-0.72779948
"HERC4",0.6887,0.18747966,-1.3863639,-5.0979,-0.52316979
"AP1S2",0.6887,0.18751934,1.3862311,-5.0981,0.31932949
"MEIS1",0.6887,0.18753356,-1.3861834,-5.0981,-0.37784164
"ALG12",0.6887,0.18760357,-1.3859491,-5.0984,-0.70929805
"ATP5D",0.6887,0.18762435,1.3858795,-5.0985,0.26386431
"NRK",0.6887,0.18765173,1.3857879,-5.0986,0.50978618
"TTF2",0.6887,0.18769388,-1.3856469,-5.0988,-0.42946679
"GSTO2",0.6887,0.18772451,-1.3855444,-5.0989,-0.47212688
"RNASE1",0.6887,0.18776008,-1.3854254,-5.0991,-0.32482905
"FAM160B1",0.6887,0.18776517,-1.3854084,-5.0991,-0.21697833
"ADGRF5",0.6887,0.18779168,-1.3853197,-5.0992,-0.24507544
"ISG15",0.689,0.18794683,-1.384801,-5.0998,-0.34791383
"RPL36A",0.689,0.18803129,-1.3845188,-5.1002,-0.46303289
"OTOP3",0.689,0.18806762,-1.3843974,-5.1003,-0.41867192
"FNIP1",0.689,0.18809886,-1.3842931,-5.1004,-0.63535175
"EXOG",0.689,0.18813643,1.3841676,-5.1006,0.59873171
"GATB",0.6893,0.18829143,-1.3836502,-5.1012,-0.39726876
"RRP15",0.6893,0.18833391,-1.3835084,-5.1014,-0.26955273
"RALBP1",0.6893,0.18836395,1.3834082,-5.1015,0.30549241
"FBXL20",0.6894,0.1884392,-1.3831572,-5.1018,-0.32038382
"C1orf94",0.6894,0.18849057,-1.3829859,-5.102,-0.48567712
"HSD17B11",0.6895,0.18867759,-1.3823626,-5.1028,-0.88555321
"MIR1-1HG",0.6895,0.18868084,1.3823518,-5.1028,0.76424667
"DCAF11",0.69,0.18886151,1.3817501,-5.1035,0.51057038
"KIAA1211L",0.6901,0.18893631,-1.3815012,-5.1038,-0.42343547
"ZNF774",0.6903,0.18907349,1.3810448,-5.1044,0.49994496
"GPR89A",0.6903,0.1891152,1.3809061,-5.1046,0.40647297
"ZNF585B",0.6905,0.18928688,1.3803355,-5.1052,0.32297764
"PARP14",0.6905,0.18929998,-1.3802919,-5.1053,-0.26732582
"KRTAP9-2",0.6907,0.18944216,-1.3798197,-5.1059,-1.6959027
"PLCD3",0.6912,0.18973723,1.3788405,-5.1071,0.45386704
"ZNF93",0.6912,0.18979766,1.3786402,-5.1073,0.91408484
"PIK3R3",0.6912,0.18981173,-1.3785935,-5.1074,-0.50138214
"AK6",0.6912,0.18986223,-1.3784261,-5.1076,-1.05192569
"SPDEF",0.6914,0.19003492,1.3778539,-5.1083,0.49514824
"GLTSCR1L",0.6914,0.19014339,1.3774947,-5.1087,0.29713488
"RUVBL2",0.6914,0.19019677,1.3773181,-5.1089,0.22304779
"ZRANB1",0.6914,0.19026223,1.3771015,-5.1092,0.51353836
"SMG6",0.6914,0.1902707,1.3770734,-5.1092,0.89571775
"IFT122",0.6914,0.19029081,-1.3770069,-5.1093,-0.35920956
"MEGF10",0.6914,0.19032522,-1.376893,-5.1094,-0.69987722
"NDUFAF6",0.6919,0.19050393,-1.3763021,-5.1101,-0.44311589
"HUWE1",0.693,0.19097195,1.3747567,-5.112,0.3904967
"TPMT",0.6931,0.19114105,1.3741991,-5.1127,0.36228317
"SIL1",0.6931,0.1911936,-1.3740259,-5.1129,-0.45409157
"SEC11C",0.6931,0.19124311,-1.3738628,-5.1131,-0.28873902
"MAPK8IP3",0.6931,0.19126896,1.3737776,-5.1132,0.49050945
"MTX1",0.6933,0.19136786,-1.3734518,-5.1136,-0.32726404
"RNF17",0.6934,0.19147407,-1.3731021,-5.114,-0.89234494
"C10orf35",0.6934,0.19149475,1.3730341,-5.1141,0.32438634
"PLAC9",0.6937,0.19161992,-1.3726222,-5.1146,-0.4475524
"MLH1",0.6939,0.1917349,1.3722441,-5.115,0.29801646
"FNBP1L",0.694,0.19180354,-1.3720184,-5.1153,-0.23393272
"ZNF627",0.694,0.19186362,1.3718209,-5.1156,0.51909227
