"","adj.P.Val","P.Value","t","B","logFC"
"PANK3",0.000278,4.89e-05,-5.739253,1.89576,-1.3991616
"RIT1",0.000278,4.89e-05,-5.738689,1.89474,-1.2531251
"PREPL",0.000278,4.89e-05,-5.738518,1.89443,-0.7392637
"C10orf76",0.000278,4.89e-05,5.738281,1.894,1.0442075
"EXOC2",0.000279,4.91e-05,-5.736017,1.88991,-0.9357672
"DAB2",0.00028,4.93e-05,-5.7346,1.88735,-1.1680883
"LOC284014",0.00028,4.93e-05,5.733897,1.88608,0.7986466
"CEP68",0.00028,4.94e-05,5.73296,1.88438,0.8476499
"PRY2",0.000281,4.95e-05,5.73148,1.88171,0.7477345
"SLC16A5",0.000281,4.97e-05,-5.72912,1.87744,-0.945265
"PLA2G2C",0.000282,4.98e-05,5.728222,1.87581,0.6531107
"COX6B1",0.000282,4.98e-05,-5.727967,1.87535,-0.9443401
"EEF1A1",0.000282,5e-05,-5.725923,1.87165,-1.0211092
"FLYWCH2",0.000283,5.01e-05,-5.724727,1.86949,-1.0988763
"PITPNB",0.000285,5.06e-05,-5.719948,1.86084,-0.74444
"CTNND2",0.000285,5.06e-05,5.719873,1.8607,0.6850423
"SHQ1",0.000286,5.08e-05,-5.717276,1.856,-0.7310415
"QARS",0.000287,5.11e-05,-5.714474,1.85093,-0.9368771
"ETS1",0.000287,5.11e-05,-5.714208,1.85045,-1.1058053
"ING1",0.000288,5.12e-05,-5.712569,1.84748,-0.7610642
"RFC2",0.000288,5.13e-05,-5.711713,1.84593,-0.7283099
"PYCR2",0.000288,5.13e-05,-5.711643,1.8458,-1.3948272
"CD300LG",0.000289,5.16e-05,5.708165,1.8395,0.817005
"ZC3H12D",0.00029,5.17e-05,5.707041,1.83746,0.8162539
"GGCT",0.00029,5.19e-05,-5.705635,1.83492,-1.1313085
"CEP170",0.00029,5.19e-05,-5.704853,1.8335,-1.1175953
"GFM1",0.000291,5.2e-05,-5.704008,1.83197,-0.8420661
"RPSA",0.000291,5.2e-05,-5.703704,1.83142,-1.0649471
"RRAGD",0.000291,5.22e-05,-5.701846,1.82805,-1.278259
"POLR2E",0.000292,5.24e-05,-5.699933,1.82458,-0.6813887
"DACH1",0.000292,5.24e-05,-5.699332,1.82349,-0.8693812
"SERPINB9",0.000293,5.27e-05,-5.696736,1.81878,-1.4165107
"LOC284242",0.000294,5.29e-05,5.694397,1.81454,0.633184
"MUDENG",0.000295,5.3e-05,-5.692828,1.8117,-1.0177095
"SLC41A3",0.000295,5.31e-05,-5.692075,1.81033,-1.0168386
"SAP30BP",0.000296,5.32e-05,-5.691002,1.80838,-0.8375505
"LRPPRC",0.000296,5.33e-05,-5.690613,1.80768,-1.4042168
"RIPK1",0.000296,5.33e-05,-5.690187,1.8069,-0.664043
"STEAP2",0.000296,5.33e-05,5.689794,1.80619,0.6961945
"LCAT",0.000297,5.35e-05,5.687619,1.80224,0.7561492
"CDK5R2",0.000297,5.37e-05,5.6864,1.80003,0.7192651
"MRPL19",0.000297,5.37e-05,-5.685653,1.79868,-1.1183462
"TRNT1",0.000297,5.38e-05,5.685339,1.79811,0.6335175
"CHCHD10",0.000297,5.38e-05,-5.685022,1.79753,-0.9431333
"ADD3",0.000298,5.39e-05,-5.683792,1.7953,-1.7931439
"PRUNE",0.000298,5.4e-05,-5.682739,1.79339,-0.6804496
"PNPLA8",0.000298,5.4e-05,-5.682476,1.79291,-1.2601684
"WSB1",3e-04,5.43e-05,-5.679291,1.78713,-1.0316273
"TAF10",3e-04,5.45e-05,-5.678059,1.78489,-0.770317
"TTLL12",0.000301,5.45e-05,5.677272,1.78346,0.6399034
"UBAC2",0.000301,5.46e-05,-5.676795,1.7826,-0.7119923
"NEDD9",0.000301,5.47e-05,5.675223,1.77974,1.4175012
"TRAPPC10",0.000301,5.48e-05,-5.674699,1.77879,-1.0164262
"RSRC1",0.000301,5.48e-05,-5.674576,1.77857,-1.4274451
"TNIK",0.000303,5.52e-05,-5.670953,1.77198,-0.9972942
"ST8SIA1",0.000304,5.53e-05,5.6693,1.76898,0.6817252
"ARMCX3",0.000304,5.56e-05,-5.666743,1.76433,-0.6949336
"COX4NB",0.000304,5.56e-05,-5.666618,1.76411,-1.1172825
"PZP",0.000306,5.59e-05,5.66315,1.7578,2.1557955
"AKAP8",0.000306,5.59e-05,-5.663031,1.75759,-1.2133312
"PRIC285",0.000306,5.6e-05,-5.662068,1.75583,-1.3549363
"TOB1",0.000306,5.61e-05,-5.661421,1.75466,-0.8926814
"ZCCHC6",0.000306,5.61e-05,-5.661233,1.75432,-1.3073615
"SLC25A46",0.000307,5.62e-05,-5.660539,1.75305,-1.1845856
"ATHL1",0.000307,5.62e-05,-5.660529,1.75304,-1.2440845
"LOC100127885",0.000307,5.62e-05,5.659982,1.75204,1.7278802
"THPO",0.000308,5.66e-05,5.656767,1.7462,0.7038605
"NPM1",0.000308,5.66e-05,-5.656183,1.74513,-0.7203697
"HMGCL",0.00031,5.69e-05,-5.653304,1.7399,-0.68718
"AURKAIP1",0.00031,5.69e-05,-5.652987,1.73932,-0.8611566
"GPKOW",0.00031,5.7e-05,-5.652758,1.7389,-0.6740959
"PRPS1",0.00031,5.71e-05,-5.651786,1.73714,-0.8333781
"TRIM26",0.00031,5.71e-05,-5.651101,1.73589,-0.8609445
"SERHL2",0.000311,5.73e-05,5.649242,1.73251,0.6738105
"XLOC_010061",0.000312,5.74e-05,5.648179,1.73057,0.6508095
"ZNF7",0.000313,5.76e-05,5.64624,1.72704,0.9129156
"LMBR1L",0.000314,5.79e-05,-5.643626,1.72228,-0.6129522
"TPM4",0.000316,5.83e-05,-5.639989,1.71566,-0.9504009
"WFDC3",0.000317,5.86e-05,5.637305,1.71077,0.6601973
"NFKBIA",0.000317,5.87e-05,-5.635897,1.70821,-1.4168142
"XLOC_l2_013460",0.000318,5.87e-05,-5.635606,1.70768,-0.738982
"MRPL34",0.000318,5.9e-05,-5.632749,1.70247,-1.0012983
"ACSF2",0.000318,5.91e-05,-5.632609,1.70222,-0.9299671
"LPCAT1",0.000318,5.91e-05,-5.632544,1.7021,-0.8147519
"CMPK1",0.000319,5.92e-05,-5.631294,1.69982,-0.7939239
"SLU7",0.000319,5.92e-05,-5.631083,1.69944,-1.6315569
"ACE",0.000319,5.92e-05,5.630854,1.69902,0.6568023
"DCDC2B",0.000319,5.94e-05,5.629544,1.69663,0.6024137
"ZC3HAV1",0.000319,5.94e-05,-5.629393,1.69636,-1.0914613
"SGPP1",0.00032,5.95e-05,-5.628297,1.69436,-1.1150216
"PSMG1",0.00032,5.96e-05,-5.627048,1.69208,-0.8862014
"ATG12",0.00032,5.97e-05,-5.626696,1.69144,-0.633096
"MYC",0.000323,6.05e-05,5.619525,1.67837,0.978245
"RNPEPL1",0.000324,6.06e-05,-5.618046,1.67567,-0.8356123
"FCN1",0.000324,6.07e-05,-5.617372,1.67444,-0.6701745
"AHR",0.000325,6.09e-05,-5.615382,1.67081,-1.3722928
"SND1",0.000325,6.09e-05,-5.615149,1.67039,-0.8585543
"NOSTRIN",0.000326,6.12e-05,5.612827,1.66615,0.6844088
"XLOC_l2_005461",0.000326,6.14e-05,5.610768,1.66239,0.7677334
"IFI30",0.000326,6.14e-05,-5.610735,1.66233,-0.8347643
"BTBD1",0.000327,6.15e-05,-5.61013,1.66123,-1.1864132
"APRT",0.000327,6.15e-05,-5.609871,1.66076,-1.0817777
"CECR1",0.000328,6.18e-05,-5.607225,1.65593,-0.9406251
"ZNF614",0.00033,6.23e-05,-5.602881,1.648,-0.6942619
"GLUD2",0.000331,6.25e-05,-5.600558,1.64375,-0.8731738
"SCARA3",0.000331,6.25e-05,5.6005,1.64365,0.6968757
"BMP8B",0.000331,6.25e-05,5.600487,1.64362,0.6643495
"LBX2",0.000332,6.29e-05,5.597541,1.63824,0.7050837
"NACA2",0.000333,6.31e-05,-5.595424,1.63438,-1.0119169
"ZBTB46",0.000334,6.32e-05,5.594593,1.63286,0.5468918
"SKIV2L2",0.000334,6.33e-05,-5.593681,1.63119,-1.3624104
"STK17B",0.000334,6.34e-05,-5.592854,1.62968,-0.6390516
"SQRDL",0.000335,6.35e-05,-5.591897,1.62793,-0.9002567
"CCL24",0.000335,6.37e-05,5.590537,1.62545,0.6198347
"STXBP3",0.000336,6.4e-05,-5.587858,1.62055,-1.9973822
"RNF212",0.000338,6.43e-05,5.585006,1.61534,0.8758472
"RNF141",0.000338,6.45e-05,-5.583372,1.61235,-1.4490199
"SYT2",0.000338,6.45e-05,5.583108,1.61187,1.5824055
"EBPL",0.000341,6.5e-05,5.578966,1.60429,0.6674663
"XLOC_l2_008595",0.000341,6.5e-05,5.578916,1.6042,1.0516003
"MRPS2",0.000341,6.5e-05,-5.578754,1.6039,-0.8172385
"DNAJB1",0.000341,6.5e-05,-5.57872,1.60384,-0.9997684
"SIGLEC15",0.000341,6.51e-05,5.577909,1.60236,1.2716454
"DNM2",0.000341,6.52e-05,5.577547,1.6017,1.063763
"NDUFB7",0.000341,6.53e-05,-5.576698,1.60014,-0.8662672
"TIMM17A",0.000343,6.56e-05,-5.574187,1.59555,-0.9398055
"PEPD",0.000343,6.57e-05,-5.573399,1.59411,-1.2752738
"CYP2S1",0.000343,6.58e-05,-5.57239,1.59226,-1.0480291
"SLCO1B1",0.000344,6.59e-05,5.571215,1.59011,0.6632352
"MYO9A",0.000344,6.6e-05,-5.570648,1.58907,-0.8369439
"F8A1",0.000345,6.61e-05,-5.569353,1.5867,-0.6755778
"IMP3",0.000345,6.61e-05,-5.569283,1.58657,-1.0083871
"TTC27",0.000345,6.62e-05,-5.568536,1.58521,-1.2025364
"C9orf69",0.000345,6.63e-05,-5.568176,1.58455,-0.7294731
"WDFY1",0.000345,6.63e-05,-5.567825,1.5839,-0.9903391
"TCIRG1",0.000346,6.67e-05,-5.56425,1.57736,-0.8625443
"KIAA0509",0.000347,6.68e-05,5.56371,1.57637,0.6290049
"MAP2K7",0.000347,6.7e-05,-5.561932,1.57311,-0.8440712
"DUSP26",0.000347,6.71e-05,5.561443,1.57222,0.9383875
"SLC7A7",0.000347,6.71e-05,-5.561411,1.57216,-0.8014279
"ZFAND2B",0.000349,6.75e-05,-5.557608,1.56519,-0.665962
"XLOC_005887",0.000352,6.82e-05,5.552452,1.55575,0.6545742
"SFPQ",0.000352,6.82e-05,-5.55235,1.55556,-0.9085881
"BRD8",0.000352,6.83e-05,-5.551383,1.55379,-0.6830654
"TBC1D9B",0.000352,6.84e-05,-5.550818,1.55275,-0.8679515
"EVC",0.000352,6.84e-05,5.550782,1.55269,0.731574
"GRM1",0.000353,6.85e-05,5.549447,1.55024,0.7115732
"RPAIN",0.000353,6.85e-05,-5.549429,1.55021,-0.8452502
"FAM50B",0.000356,6.93e-05,-5.543341,1.53904,-0.8379381
"VHLL",0.000356,6.93e-05,-5.543209,1.5388,-0.6986126
"SEL1L",0.000358,6.97e-05,-5.540401,1.53365,-1.2101931
"S1PR5",0.000358,6.98e-05,-5.539072,1.53121,-1.1610905
"TCFL5",0.000359,6.99e-05,-5.538381,1.52995,-0.8551561
"FAM172A",0.00036,7.03e-05,-5.535406,1.52449,-1.26477
"KLHL8",0.000361,7.06e-05,-5.533128,1.52031,-1.0778394
"ARHGAP1",0.000363,7.08e-05,-5.531103,1.51659,-0.9597259
"CUEDC2",0.000363,7.09e-05,-5.530212,1.51496,-0.9660648
"PA2G4",0.000364,7.11e-05,-5.528902,1.51255,-0.7253246
"HAX1",0.000364,7.11e-05,-5.528749,1.51227,-0.8633896
"TBL1X",0.000366,7.17e-05,-5.524202,1.50392,-0.8807542
"MSL2",0.000366,7.18e-05,-5.523815,1.50321,-0.792624
"GPATCH4",0.000366,7.19e-05,-5.522896,1.50152,-0.7235213
"TTPAL",0.000366,7.2e-05,5.521873,1.49965,0.5586911
"OR2F1",0.000366,7.2e-05,5.521674,1.49928,1.1690364
"CHFR",0.000367,7.23e-05,-5.519864,1.49596,-0.615339
"POLE3",0.000367,7.23e-05,-5.519685,1.49563,-1.049853
"XLOC_002211",0.000367,7.24e-05,5.519169,1.49468,0.7951631
"OTUD1",0.000368,7.26e-05,-5.517562,1.49173,-1.4882611
"STAG2",0.000368,7.26e-05,5.517159,1.49099,1.18094
"ATP6V1D",0.000368,7.26e-05,-5.517073,1.49083,-1.0537713
"Q6UWM8",0.000368,7.27e-05,5.51651,1.48979,0.5875058
"CCNK",0.000369,7.3e-05,-5.514523,1.48614,-0.7013715
"C7orf60",0.000369,7.3e-05,-5.514287,1.48571,-0.7949135
"DCLK1",0.000369,7.3e-05,5.514203,1.48556,0.6046991
"FCF1",0.000369,7.32e-05,-5.512992,1.48333,-1.2732719
"CFC1",0.00037,7.34e-05,5.511581,1.48074,0.6929642
"TMEM30A",0.00037,7.34e-05,-5.511237,1.4801,-1.6418772
"HADHA",0.00037,7.35e-05,-5.510943,1.47956,-0.6511343
"ZNF395",0.00037,7.35e-05,-5.510866,1.47942,-0.8737242
"MAML1",0.00037,7.35e-05,5.510837,1.47937,0.7069533
"ARHGAP5",0.000371,7.36e-05,-5.509678,1.47724,-1.0247041
"HP1BP3",0.000371,7.37e-05,-5.50891,1.47583,-0.6860924
"C20orf43",0.000372,7.4e-05,-5.506823,1.47199,-0.9023088
"SNRPD3",0.000373,7.44e-05,-5.504049,1.46689,-1.1489134
"XLOC_007718",0.000376,7.5e-05,5.499715,1.45892,1.6450724
"IVNS1ABP",0.000377,7.52e-05,-5.498152,1.45604,-0.7929794
"MSL3",0.000377,7.53e-05,-5.496973,1.45387,-1.0688785
"P4HB",0.000379,7.57e-05,-5.49392,1.44826,-1.6879572
"FAM160A2",0.000379,7.58e-05,-5.493784,1.44801,-0.6485879
"CNOT1",0.000379,7.59e-05,-5.492633,1.44589,-0.6788649
"BEST4",0.000382,7.65e-05,5.488308,1.43793,0.7699419
"XLOC_l2_005871",0.000383,7.68e-05,5.486037,1.43375,0.7597202
"NACC2",0.000383,7.69e-05,-5.485389,1.43255,-0.8268284
"C1QTNF1",0.000383,7.69e-05,5.485276,1.43234,0.7670192
"NONO",0.000383,7.71e-05,-5.484193,1.43035,-0.6389503
"MIER2",0.000385,7.75e-05,-5.481295,1.42501,-0.9225912
"TARS",0.000385,7.76e-05,-5.480848,1.42419,-1.4716523
"LOC494150",0.000387,7.79e-05,5.478262,1.41942,0.5538472
"COG2",0.000388,7.83e-05,-5.475341,1.41404,-0.8090855
"TMEM188",0.000388,7.83e-05,-5.47518,1.41375,-0.9469315
"PRPF8",0.000389,7.86e-05,-5.473565,1.41077,-0.8574714
"SDHAP1",0.00039,7.89e-05,5.471626,1.4072,0.7117137
"TOR1A",0.000391,7.91e-05,-5.470231,1.40462,-0.9120406
"RC3H1",0.000392,7.93e-05,-5.468337,1.40113,-0.702115
"P2RX4",0.000395,7.99e-05,-5.464471,1.394,-0.7369726
"FBXO28",0.000395,8e-05,-5.46348,1.39218,-0.9105551
"PBX3",0.000396,8.02e-05,-5.462363,1.39012,-0.8348485
"ABCF2",0.000398,8.09e-05,-5.457624,1.38137,-0.7138903
"ETF1",0.000399,8.1e-05,-5.456861,1.37997,-0.9208512
"SPRY3",0.000399,8.12e-05,5.455387,1.37725,0.6387103
"KIF13B",4e-04,8.14e-05,-5.453935,1.37457,-0.727647
"RDH13",4e-04,8.16e-05,5.45275,1.37238,0.5685261
"FDXR",0.000401,8.18e-05,-5.451601,1.37026,-0.7972614
"ZFAND5",0.000401,8.18e-05,-5.45153,1.37013,-1.2511043
"AIP",0.000402,8.21e-05,-5.449443,1.36628,-0.6847885
"C20orf173",0.000402,8.23e-05,5.448106,1.36381,0.6274913
"PQLC1",0.000402,8.23e-05,-5.447848,1.36333,-0.7823871
"UBE2E4P",0.000403,8.25e-05,-5.446885,1.36155,-0.9184368
"RTN4RL2",0.000404,8.28e-05,5.444709,1.35754,0.5673599
"ZNF428",0.000406,8.32e-05,-5.441766,1.3521,-0.7861881
"CCIN",0.000406,8.33e-05,5.441119,1.35091,0.7557831
"LOC647983",0.000408,8.38e-05,5.438205,1.34552,0.6342799
"FAM36A",0.000408,8.38e-05,-5.438028,1.3452,-0.7090052
"POLR3C",0.000409,8.4e-05,-5.436398,1.34218,-0.9850398
"RBM22",0.00041,8.42e-05,-5.43555,1.34062,-0.8453041
"FBXO40",0.00041,8.44e-05,5.434138,1.33801,0.8805015
"DDX11",0.000411,8.46e-05,5.433014,1.33593,0.8190418
"AMIGO2",0.000411,8.46e-05,-5.43249,1.33496,-0.9561417
"JMJD1C",0.000412,8.48e-05,-5.431301,1.33277,-0.9009532
"DNM1L",0.000413,8.5e-05,-5.429849,1.33008,-0.7053954
"MTFMT",0.000413,8.52e-05,-5.428962,1.32844,-0.9140727
"DNAJC14",0.000414,8.55e-05,-5.426977,1.32477,-0.6456091
"MAGEC1",0.000415,8.56e-05,5.426458,1.32381,1.0398535
"MAFB",0.000416,8.59e-05,-5.424161,1.31956,-0.9324405
"GAPDH",0.000419,8.67e-05,-5.418967,1.30996,-0.9245537
"PRKAA1",0.000421,8.72e-05,-5.416258,1.30495,-0.8069462
"RASAL3",0.000424,8.8e-05,-5.41089,1.29501,-0.6190077
"SLC25A47",0.000424,8.8e-05,5.410884,1.295,0.5092563
"MAPKBP1",0.000424,8.81e-05,-5.410146,1.29363,-0.6244934
"OR14A16",0.000425,8.82e-05,5.409647,1.29271,0.5762862
"ZFYVE21",0.000425,8.84e-05,-5.408438,1.29047,-0.9860332
"FLNA",0.000425,8.85e-05,-5.408045,1.28974,-0.9678763
"TTC30B",0.000425,8.86e-05,-5.40745,1.28864,-1.1693941
"GALK1",0.000426,8.86e-05,-5.407098,1.28799,-0.79128
"PPP6R2",0.000427,8.91e-05,-5.404312,1.28283,-0.5833025
"FBXL6",0.000427,8.91e-05,-5.40426,1.28274,-0.7489077
"SREK1IP1",0.000427,8.91e-05,-5.404257,1.28273,-1.1224571
"SKP1",0.000429,8.96e-05,-5.400857,1.27643,-1.2098982
"GZMH",0.000433,9.06e-05,-5.395153,1.26587,-1.6686128
"COG5",0.000434,9.09e-05,5.392954,1.26179,1.2360569
"SHISA5",0.000434,9.1e-05,-5.392727,1.26137,-0.8507784
"ATM",0.000434,9.1e-05,5.39233,1.26063,0.7054707
"RIOK2",0.000434,9.11e-05,-5.391805,1.25966,-1.2519274
"ENTPD1",0.000434,9.12e-05,5.391617,1.25931,1.4990931
"C18orf21",0.000434,9.12e-05,-5.391206,1.25855,-0.6783371
"ZNF701",0.000436,9.15e-05,-5.389359,1.25513,-0.6566952
"HIPK3",0.000436,9.18e-05,-5.387636,1.25193,-1.0255276
"MSH2",0.000436,9.18e-05,-5.387621,1.2519,-1.3933818
"GTF2H3",0.00044,9.28e-05,-5.382079,1.24163,-1.297342
"GPLD1",0.000442,9.32e-05,5.379306,1.23648,0.7209703
"TMEM175",0.000442,9.33e-05,-5.378951,1.23583,-0.6566094
"XLOC_l2_004611",0.000442,9.34e-05,5.378314,1.23464,1.1586429
"TRAF3IP3",0.000443,9.36e-05,-5.376909,1.23204,-0.8622835
"PRAMEF12",0.000445,9.4e-05,5.374449,1.22747,0.7854412
"SPRY4",0.000446,9.45e-05,5.372076,1.22307,0.8317667
"SNF8",0.000447,9.47e-05,-5.370813,1.22072,-0.68282
"TAOK3",0.000447,9.47e-05,-5.37066,1.22044,-0.8079826
"PYGO2",0.00045,9.54e-05,-5.366506,1.21273,-0.7356885
"XLOC_005020",0.00045,9.55e-05,5.366297,1.21234,0.893359
"GCM2",0.000451,9.59e-05,5.363891,1.20787,0.5987508
"LYRM5",0.000451,9.6e-05,-5.363448,1.20705,-0.8977631
"PHAX",0.000453,9.65e-05,-5.360239,1.20109,-0.848324
"LRCH4",0.000454,9.67e-05,5.359098,1.19897,0.6151764
"RANGAP1",0.000456,9.72e-05,5.356322,1.19381,0.6231312
"NMI",0.000461,9.87e-05,-5.347707,1.1778,-1.4101258
"OSBPL8",0.000461,9.89e-05,-5.346801,1.17612,-1.0340145
"ZNF33A",0.000463,9.92e-05,-5.345009,1.17278,-0.8165691
"LOC728868",0.000466,9.99e-05,5.341181,1.16567,1.115084
"CIDEA",0.000467,1e-04,5.339365,1.16229,0.569019
"RAB1A",0.000467,1e-04,-5.338258,1.16023,-1.2304149
"SLC25A6",0.000469,0.000101,-5.335081,1.15432,-1.0233751
"C22orf13",0.000469,0.000101,5.334841,1.15387,0.9276799
"LRR1",0.000471,0.000101,-5.332627,1.14975,-0.7766501
"GIT2",0.000471,0.000102,-5.332037,1.14865,-0.728672
"KIAA1267",0.000471,0.000102,-5.331087,1.14689,-0.715767
"LOC100132495",0.000472,0.000102,5.329747,1.14439,1.0607192
"XLOC_011349",0.000473,0.000102,5.329092,1.14317,0.8333764
"C6orf108",0.000474,0.000103,-5.326966,1.13922,-1.17171
"CAMTA2",0.000477,0.000103,5.322374,1.13067,0.5551956
"TYW1",0.000478,0.000104,5.321572,1.12917,0.6815218
"LOC100130248",0.000478,0.000104,5.320525,1.12722,1.4399353
"DHRS4L1",0.00048,0.000104,-5.318325,1.12312,-0.7325767
"FAM120C",0.000483,0.000105,5.313347,1.11385,0.6310496
"HIPK2",0.000485,0.000106,5.31097,1.10942,0.6470353
"MCRS1",0.000489,0.000107,-5.305685,1.09957,-0.7488208
"CMTM6",0.00049,0.000107,-5.304018,1.09646,-0.8384119
"IFITM1",0.00049,0.000107,-5.303975,1.09638,-0.9224712
"ELK1",0.000491,0.000107,-5.30271,1.09402,-0.5809799
"PRDM11",0.000491,0.000107,5.302539,1.0937,0.7349148
"RNF216",0.000491,0.000107,-5.301752,1.09223,-0.7393161
"GATA1",0.000491,0.000107,5.301665,1.09207,1.6955012
"DPP8",0.000491,0.000107,-5.301347,1.09148,-0.5389723
"HARS",0.000493,0.000108,-5.299459,1.08796,-0.6010236
"RFC3",0.000493,0.000108,-5.298921,1.08695,-0.9037947
"NSRP1",0.000493,0.000108,-5.298027,1.08529,-0.923896
"ZFR",0.000493,0.000108,-5.297993,1.08522,-0.7677194
"CTSW",0.000494,0.000108,-5.297411,1.08414,-1.6062557
"KANK3",0.000494,0.000108,5.296932,1.08325,0.6113883
"CCDC56",0.000494,0.000108,-5.29649,1.08242,-1.0499749
"PICALM",0.000495,0.000109,-5.295541,1.08065,-1.1830442
"CFDP1",0.000495,0.000109,-5.294421,1.07856,-0.7107856
"TACO1",0.000498,0.000109,-5.291629,1.07335,-0.8659667
"OR2A5",0.000498,0.000109,5.291242,1.07263,0.6939752
"WDR82",0.000498,0.000109,-5.291157,1.07247,-0.6651144
"TBC1D5",0.000498,0.00011,-5.290975,1.07213,-0.856603
"PAFAH2",0.000498,0.00011,-5.290505,1.07125,-0.7055048
"IGFLR1",0.000498,0.00011,-5.289979,1.07027,-0.6782157
"EIF4EBP1",0.000499,0.00011,-5.288693,1.06787,-0.8650684
"LSM14B",5e-04,0.00011,-5.287475,1.0656,-0.8479124
"GOLGA3",5e-04,0.00011,-5.287108,1.06491,-0.8945783
"PSMA5",5e-04,0.00011,-5.286749,1.06424,-0.8214663
"NCK2",0.000501,0.000111,-5.284684,1.06039,-1.166881
"PIAS2",0.000502,0.000111,-5.284078,1.05926,-0.7661181
"C17orf101",0.000503,0.000111,-5.28278,1.05683,-0.9160418
"XLOC_l2_011151",0.000506,0.000112,5.277445,1.04687,0.7932558
"TXNDC17",0.000507,0.000113,-5.275985,1.04414,-0.7791074
"SRP9",0.000507,0.000113,-5.275873,1.04393,-2.1273337
"LPGAT1",0.000508,0.000113,-5.275194,1.04267,-0.9105585
"ZNF527",0.00051,0.000113,5.271704,1.03614,0.6145287
"MMP11",0.00051,0.000113,5.27156,1.03587,0.5485066
"SMPD3",0.000511,0.000114,-5.269849,1.03268,-1.1421564
"XLOC_l2_006267",0.000511,0.000114,5.269509,1.03204,0.5451458
"ZBTB20",0.000515,0.000115,5.264993,1.0236,0.8359194
"PALLD",0.000515,0.000115,-5.264319,1.02234,-1.3435741
"KIFAP3",0.000516,0.000115,-5.263041,1.01995,-0.6668481
"IFT88",0.000517,0.000116,-5.261162,1.01644,-0.8854556
"PPP1R21",0.000517,0.000116,-5.261105,1.01633,-0.9153777
"MLH3",0.000517,0.000116,-5.260659,1.0155,-1.0951861
"GPR161",0.000517,0.000116,5.260653,1.01549,0.5666872
"ZMYM3",0.000517,0.000116,-5.260483,1.01517,-0.8118684
"CBWD5",0.000518,0.000116,-5.259939,1.01415,-1.1215842
"TRAF2",0.000519,0.000116,-5.258926,1.01226,-0.6959987
"NUP37",0.000519,0.000116,-5.257764,1.01008,-0.5549298
"TRIM65",0.000522,0.000117,-5.254305,1.00361,-0.8827549
"PDHB",0.000525,0.000118,-5.250896,0.99723,-0.8946975
"SPTBN4",0.000525,0.000118,5.250511,0.99651,0.5705415
"C2orf81",0.000526,0.000118,5.249395,0.99443,0.6645971
"C10orf54",0.000527,0.000118,-5.248668,0.99307,-0.8964294
"MATR3",0.000529,0.000119,-5.246308,0.98865,-1.7604559
"TMEM109",0.00053,0.000119,-5.243984,0.9843,-1.4703667
"BZW2",0.000531,0.00012,-5.243386,0.98318,-1.4551696
"RNF13",0.000532,0.00012,-5.241996,0.98058,-1.6296419
"SLC39A1",0.000535,0.000121,-5.238554,0.97413,-0.6590708
"ARL2",0.000536,0.000121,-5.236652,0.97057,-0.8173494
"TM9SF3",0.000537,0.000121,-5.235532,0.96847,-1.5485904
"METAP1",0.000537,0.000121,-5.235251,0.96795,-0.969763
"TTI1",0.000538,0.000122,5.234031,0.96566,0.526851
"HSD17B4",0.000538,0.000122,-5.233308,0.96431,-0.8741298
"C3orf75",0.000538,0.000122,-5.23327,0.96423,-0.6259124
"UNK",0.000542,0.000123,-5.228319,0.95496,-0.7160986
"WBP11",0.000545,0.000124,-5.224345,0.94751,-1.4624132
"TMX2",0.000545,0.000124,-5.223446,0.94582,-0.7707529
"ZNF646",0.000546,0.000124,-5.22307,0.94512,-0.7283591
"AGTPBP1",0.000548,0.000125,-5.220412,0.94014,-1.3382546
"LOC120824",0.000548,0.000125,5.219695,0.93879,0.6740794
"TADA2A",0.000549,0.000125,-5.218455,0.93647,-0.9641896
"LOC100128551",0.000549,0.000125,5.218386,0.93634,0.6582404
"PM20D1",0.000554,0.000126,5.212751,0.92577,0.5888334
"U2AF2",0.000556,0.000127,-5.210944,0.92238,-1.3075681
"CHRNE",0.000556,0.000127,5.210403,0.92136,0.758249
"ABL1",0.000556,0.000127,-5.209597,0.91985,-0.8005564
"XLOC_008840",0.000557,0.000127,5.208905,0.91855,0.7204141
"DHX40",0.000557,0.000127,-5.208485,0.91777,-0.7121248
"CYP2B6",0.000557,0.000128,5.208176,0.91719,0.6088284
"XLOC_l2_004115",0.000559,0.000128,5.206104,0.9133,0.6843928
"C1orf68",0.00056,0.000128,5.204734,0.91073,0.6168756
"TAB3",0.00056,0.000128,-5.204265,0.90985,-1.3549938
"RREB1",0.00056,0.000129,-5.203982,0.90932,-0.7497394
"C9orf163",0.000561,0.000129,5.20285,0.90719,0.6246599
"DCTN4",0.000561,0.000129,-5.202733,0.90697,-0.7862526
"KIAA1671",0.000563,0.000129,-5.20043,0.90265,-1.3355838
"LOC283352",0.000563,0.000129,-5.200387,0.90257,-0.8674153
"CD164",0.000563,0.000129,-5.199837,0.90153,-0.6450296
"GPX4",0.000565,0.00013,-5.196888,0.896,-0.9429833
"ANKRA2",0.000565,0.00013,-5.196575,0.89541,-1.0985084
"NQO2",0.000565,0.00013,5.196354,0.895,0.9767531
"C1QTNF9B",0.000565,0.00013,5.196083,0.89448,0.5581243
"IPO7",0.000565,0.00013,-5.196045,0.89441,-0.9791682
"CCT4",0.000566,0.000131,-5.195278,0.89297,-1.2495534
"TMEM53",0.000567,0.000131,-5.193747,0.8901,-0.768875
