"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"RORB-AS1",-0.586681679970341,4.35868815946021,-1.52431315591609,0.13565472871921,0.308965941475594,-5.40900402772735
"LZTS1-AS1",0.543065489845344,3.02652396219624,1.52419053793399,0.135685283038394,0.309019734975885,-5.40918093290795
"TMC3-AS1",0.199015542987622,5.05447860770623,1.52375314178017,0.135794319740901,0.309120014872339,-5.40981187701593
"LINC02015",-0.311545795991585,4.12971709011538,-1.52358819911939,0.135835455882915,0.309183571243348,-5.41004976533961
"MYOM1",0.216329568748691,13.5749110602737,1.52323348673839,0.135923953837698,0.309311257171261,-5.4105612717342
"MX1",-0.369768076201655,8.17132803595131,-1.52262841873952,0.136075020348984,0.309596033300437,-5.41143355603873
"CAVIN1",0.186325829795205,12.101619740531,1.52237840081892,0.136137481314959,0.309687063765055,-5.41179390005079
"LYG1",-0.317371965183233,4.36576122777773,-1.52222479190439,0.136175868218112,0.309743738242966,-5.41201526646927
"RNU6-1176P",0.247607412244111,4.10323966739084,1.52169522535846,0.136308273613905,0.309942688617666,-5.41277827565733
"STARD4",-0.332342369341821,5.11125324843951,-1.52138118778935,0.136386839944294,0.310064076642257,-5.41323063596563
"OR10H5",-0.208727678277675,6.39870531236919,-1.52136143798818,0.136391782189518,0.310064076642257,-5.41325908211761
"KCNK15",-0.594463634651773,2.20568906714048,-1.52131678071687,0.136402957879188,0.310064076642257,-5.41332340194344
"ARMC3",-0.405564582098286,3.95758567933682,-1.52120567328133,0.136430766219161,0.310064076642257,-5.41348342264062
"CARD19",0.335373517819163,5.10398051833294,1.52120265458792,0.136431521811289,0.310064076642257,-5.41348777012118
"PPP1R3D",-0.173108610578915,8.32247951475876,-1.52119439800618,0.136433588486867,0.310064076642257,-5.41349966109724
"SYCE1L",0.614338377404563,2.37391285980301,1.52099401399646,0.136483753597113,0.310167863375825,-5.4137882329508
"SVOP",0.332596577405028,6.58422591033694,1.52001660007752,0.136728656321715,0.31054267490941,-5.41519531958712
"CLMAT3",-0.213032505216254,6.23730099549087,-1.51941988505758,0.13687834359143,0.310758200725657,-5.41605395855397
"MACC1",-0.266837020369226,4.9700777057008,-1.51912257761762,0.136952972851819,0.310844984289003,-5.4164816558414
"PHKG2",-0.319152832123955,4.23456025983609,-1.51897877954825,0.136989080336476,0.310916706292179,-5.4166884927563
"ANKRD18CP",-0.545394288388768,3.21077262945528,-1.51881651769963,0.137029833215726,0.3109785001115,-5.41692186690496
"NFIL3",-0.287670417238228,8.60295585521527,-1.518494658729,0.137110698481321,0.311121068407854,-5.41738471743897
"DCAF16",-0.292786429126997,7.19007651614583,-1.51779445677183,0.137286752471839,0.311418099588315,-5.41839134606851
"SV2A",0.29588772488801,4.79327562844704,1.51775709745999,0.13729615093208,0.311418934119959,-5.4184450432589
"GOLGA5",-0.171740960067511,9.63847813521518,-1.51742175599587,0.13738053568443,0.311569351423995,-5.41892698307965
"CXCL17",0.417865618435229,3.47959134296284,1.51614308824678,0.137702679014955,0.312168400284935,-5.4207637711175
"PITPNM2",0.357154076933218,3.54007195779583,1.51568011019662,0.137819469349564,0.31234913252627,-5.42142849489389
