"","adj.P.Val","P.Value","t","B","logFC"
"NPTN",0.689,0.381,0.8779865,-6.751024,0.05512745
"HS.112825",0.689,0.381,0.8778782,-6.751119,0.02465112
"OR51A7",0.689,0.382,-0.8776726,-6.751298,-0.02183757
"HS.147381",0.689,0.382,0.8776518,-6.751316,0.02068256
"TMEM65",0.689,0.382,0.8776186,-6.751345,0.03232711
"HS.581868",0.689,0.382,0.8775607,-6.751396,0.02253221
"HS.358845",0.69,0.382,0.8773444,-6.751585,0.02373476
"LOC643492",0.69,0.382,0.8772933,-6.75163,0.02146359
"HS.549668",0.69,0.382,-0.8772755,-6.751645,-0.02586308
"HS.559775",0.69,0.382,0.8772393,-6.751677,0.02964528
"PTGR2",0.69,0.382,0.8771015,-6.751797,0.04133355
"HS.540848",0.69,0.382,-0.8770111,-6.751876,-0.02338214
"HS.540427",0.69,0.382,-0.8769917,-6.751893,-0.02253821
"HS.577963",0.69,0.382,0.8768699,-6.751999,0.02054729
"SCG3",0.69,0.382,-0.8768072,-6.752054,-0.01555702
"HS.582446",0.69,0.382,0.8767977,-6.752062,0.02347782
"LOC645891",0.69,0.382,-0.8767634,-6.752092,-0.02782411
"LOC642268",0.69,0.382,-0.8767063,-6.752142,-0.01811279
"HS.541957",0.69,0.382,-0.8766694,-6.752174,-0.02276781
"TM4SF20",0.69,0.382,0.8766624,-6.75218,0.02108058
"HS.577033",0.69,0.382,0.8766007,-6.752234,0.02163569
"HS.542512",0.69,0.382,0.8763894,-6.752418,0.02192423
"HS.580965",0.69,0.382,-0.8763772,-6.752429,-0.02203953
"HS.147110",0.69,0.382,-0.8763508,-6.752452,-0.02160577
"HS.580671",0.69,0.382,0.8763094,-6.752488,0.02545074
"CDC26",0.69,0.382,0.8763013,-6.752495,0.05609536
"AADACL4",0.69,0.382,-0.8762215,-6.752565,-0.03100793
"MGC40574",0.69,0.382,-0.8761825,-6.752599,-0.02081064
"HS.142570",0.69,0.382,0.8761097,-6.752662,0.02624395
"HS.557234",0.69,0.382,0.8760736,-6.752694,0.02225034
"HS.581656",0.69,0.382,0.8760484,-6.752716,0.02154695
"FHL5",0.69,0.382,-0.8760055,-6.752753,-0.04453013
"HS.562098",0.69,0.382,-0.8759912,-6.752766,-0.02385173
"HS.550328",0.69,0.382,-0.8759903,-6.752766,-0.02189077
"LOC646698",0.69,0.382,-0.8759729,-6.752782,-0.02335702
"HS.580257",0.69,0.382,0.8759316,-6.752818,0.02240302
"LOC730274",0.69,0.383,-0.8759149,-6.752832,-0.02376969
"STYK1",0.69,0.383,-0.8758577,-6.752882,-0.01634409
"TMEM85",0.69,0.383,-0.8757615,-6.752966,-0.03312458
"LOC339047",0.69,0.383,0.8757519,-6.752974,0.01064489
"LOC652491",0.69,0.383,-0.8755771,-6.753127,-0.02743221
"LOC644359",0.69,0.383,-0.875496,-6.753197,-0.01969926
"POLS",0.69,0.383,0.875307,-6.753362,0.03227303
"PRSS23",0.69,0.383,0.8752576,-6.753405,0.06747679
"HS.516300",0.69,0.383,0.8752538,-6.753408,0.02194686
"PCNXL3",0.69,0.383,-0.875237,-6.753423,-0.03199271
"HS.554566",0.69,0.383,0.8752269,-6.753432,0.02278608
"LOC648050",0.69,0.383,0.8751979,-6.753457,0.02586865
"RRAGC",0.69,0.383,0.8751456,-6.753503,0.03600294
"MEPE",0.69,0.383,0.8750287,-6.753604,0.02469392
"RDH12",0.69,0.383,-0.874962,-6.753663,-0.02555409
"DKFZP686E2158",0.69,0.383,0.8748682,-6.753744,0.02440765
"HS.546008",0.691,0.383,0.8744769,-6.754085,0.02189729
"6-Mar",0.691,0.383,0.8743705,-6.754177,0.07696198
"PNCK",0.691,0.383,-0.8743463,-6.754199,-0.05787836
"LOC728066",0.691,0.383,0.8741712,-6.754351,0.02133521
"LOC651196",0.691,0.383,0.8740997,-6.754413,0.02272487
"C11ORF76",0.691,0.384,-0.8738987,-6.754588,-0.01475467
"HS.547719",0.691,0.384,-0.8738452,-6.754634,-0.02269942
"FABP1",0.691,0.384,0.873778,-6.754693,0.01952267
"LOC643236",0.691,0.384,-0.8737713,-6.754699,-0.02042749
"GYPB",0.691,0.384,0.8737266,-6.754738,0.0218963
"LRDD",0.691,0.384,0.8736111,-6.754838,0.02102566
"HS.405574",0.691,0.384,-0.8735868,-6.754859,-0.01826415
"VAC14",0.691,0.384,-0.8734996,-6.754935,-0.01665632
"KIF16B",0.691,0.384,0.8733913,-6.755029,0.02713839
"ITCH",0.691,0.384,-0.8733361,-6.755077,-0.03287759
"LOC642198",0.691,0.384,0.8733053,-6.755104,0.02596532
"HS.363541",0.691,0.384,0.8732811,-6.755125,0.02473929
"REG1P",0.692,0.384,0.873183,-6.75521,0.02741365
"HS.560569",0.692,0.384,-0.8729966,-6.755372,-0.02344168
"HS.542821",0.692,0.384,-0.8729777,-6.755389,-0.02645269
"HS.583920",0.692,0.384,-0.8729727,-6.755393,-0.01978114
"LOC643120",0.692,0.384,0.8729115,-6.755446,0.02526605
"HS.380641",0.692,0.384,0.8728934,-6.755462,0.02530576
"RPS20",0.692,0.384,-0.8728201,-6.755526,-0.03694788
"HS.179724",0.692,0.384,-0.8727454,-6.755591,-0.02287988
"TBC1D3E",0.692,0.384,0.8727431,-6.755593,0.02437505
"LOC650788",0.692,0.384,0.8726268,-6.755693,0.03606276
"HS.111539",0.692,0.384,0.8724616,-6.755837,0.027691
"HS.23127",0.692,0.384,0.8724441,-6.755852,0.02222646
"TIGD5",0.692,0.384,-0.8723653,-6.755921,-0.04643627
"HS.552268",0.692,0.384,0.8722962,-6.755981,0.02090621
"HS.336954",0.692,0.385,-0.8722295,-6.756039,-0.02103856
"LOC646501",0.692,0.385,0.8722187,-6.756048,0.02060079
"HS.545352",0.692,0.385,-0.872146,-6.756111,-0.02127476
"HOXD11",0.692,0.385,0.8721191,-6.756134,0.028703
"HS.538032",0.692,0.385,0.8719942,-6.756243,0.02216513
"LOC643313",0.692,0.385,0.8718881,-6.756335,0.01780311
"TTC39A",0.692,0.385,-0.8718626,-6.756357,-0.02276017
"LOC642772",0.692,0.385,-0.871819,-6.756395,-0.02143976
"CYP2C19",0.692,0.385,-0.8717884,-6.756421,-0.02294649
"HS.539634",0.692,0.385,0.8717591,-6.756447,0.02275195
"HS.537727",0.692,0.385,0.8716791,-6.756516,0.0181194
"PRKACA",0.692,0.385,-0.8716631,-6.75653,-0.02914783
"SIM1",0.692,0.385,0.8715938,-6.75659,0.01470371
"HS.213716",0.692,0.385,0.871576,-6.756606,0.02183737
"DCLRE1B",0.692,0.385,-0.8715201,-6.756654,-0.02436204
"TOPBP1",0.692,0.385,0.8715119,-6.756661,0.04746443
"HS.550430",0.692,0.385,0.8715003,-6.756671,0.02188966
"HS.132141",0.692,0.385,0.8712687,-6.756872,0.02494742
"LOC390547",0.692,0.385,-0.8712296,-6.756906,-0.02348899
"HS.121413",0.692,0.385,-0.8711848,-6.756945,-0.02111268
"SFTPA2",0.692,0.385,-0.8711693,-6.756958,-0.02054215
"HS.125626",0.692,0.385,0.8710447,-6.757066,0.02110837
"LOC648174",0.692,0.385,0.8710053,-6.757101,0.02358763
"LOC647295",0.692,0.385,0.8709811,-6.757122,0.02352267
"HS.211743",0.693,0.385,-0.8706938,-6.757371,-0.02326572
"LOC439985",0.693,0.385,-0.8705896,-6.757461,-0.02153144
"HS.147610",0.693,0.385,0.8705729,-6.757475,0.02300821
"CREB3L1",0.693,0.385,-0.8704056,-6.75762,-0.02265369
"LOC642295",0.693,0.386,0.8703062,-6.757706,0.01732044
"OR5AY1",0.693,0.386,-0.8702903,-6.75772,-0.02200671
"HS.539928",0.693,0.386,0.8701974,-6.757801,0.02162831
"CHST8",0.693,0.386,0.8701669,-6.757827,0.01968571
"HS.145875",0.693,0.386,0.8701481,-6.757843,0.03317851
"HS.582386",0.693,0.386,0.8701077,-6.757878,0.02344308
"HAPLN3",0.693,0.386,-0.8701019,-6.757883,-0.03750255
"PYGO1",0.693,0.386,-0.8700062,-6.757966,-0.02258945
"FLJ38773",0.693,0.386,0.8699191,-6.758042,0.02065727
"GPATCH8",0.693,0.386,0.8698747,-6.75808,0.02873854
"LOC652043",0.693,0.386,-0.8698746,-6.75808,-0.02009889
"HS.437005",0.693,0.386,0.8698619,-6.758091,0.02185325
"LOC644843",0.693,0.386,-0.8696919,-6.758238,-0.02186465
"LOC644056",0.693,0.386,-0.8696324,-6.75829,-0.02089783
"DGKH",0.693,0.386,0.8696027,-6.758316,0.02446124
"HS.148431",0.693,0.386,0.8696003,-6.758318,0.02186239
"HS.132480",0.693,0.386,0.8695966,-6.758321,0.02069772
"C1ORF131",0.693,0.386,0.8695263,-6.758382,0.03361056
"LOC149643",0.693,0.386,-0.8693705,-6.758517,-0.02431725
"RNASE12",0.693,0.386,-0.8692313,-6.758637,-0.0232202
"OR5H1",0.693,0.386,0.8692164,-6.75865,0.02368349
"HS.542185",0.693,0.386,0.8691224,-6.758731,0.01956886
"LATS2",0.693,0.386,0.8691014,-6.758749,0.03802735
"HS.574391",0.693,0.386,0.8690703,-6.758776,0.01963158
"HS.564927",0.694,0.386,0.8689327,-6.758895,0.0247767
"SLC15A1",0.694,0.386,-0.8687817,-6.759026,-0.02163612
"LOC441792",0.694,0.386,-0.8686637,-6.759128,-0.02190615
"LOC441907",0.694,0.387,0.8685492,-6.759227,0.02209952
"HS.566937",0.694,0.387,0.8684543,-6.759309,0.02042952
"MKI67",0.694,0.387,0.868394,-6.759361,0.02377021
"LOC649770",0.694,0.387,-0.8682027,-6.759527,-0.02143172
"LOC653968",0.694,0.387,0.8679977,-6.759704,0.01965273
"LOC400927",0.694,0.387,0.8678789,-6.759806,0.02407981
"FLJ35785",0.694,0.387,0.8678589,-6.759824,0.01264696
"FAM130A1",0.694,0.387,-0.8678516,-6.75983,-0.02733767
"LOC644408",0.694,0.387,0.867796,-6.759878,0.0218831
"KIAA1984",0.694,0.387,-0.8677533,-6.759915,-0.02587186
"HS.559476",0.694,0.387,0.8676894,-6.75997,0.03109412
"TAS2R3",0.694,0.387,0.8676214,-6.760029,0.02321278
"TBX5",0.694,0.387,-0.8675884,-6.760057,-0.02191763
"TSGA10",0.695,0.387,0.8673049,-6.760302,0.01361712
"SCN2A",0.695,0.387,-0.8671749,-6.760414,-0.01285179
"HS.538613",0.695,0.387,0.8671519,-6.760434,0.02115886
"TAF4B",0.695,0.387,-0.8670921,-6.760486,-0.02482272
"LOC728499",0.695,0.387,-0.8670661,-6.760508,-0.0533659
"HS.548635",0.695,0.387,0.8669962,-6.760568,0.02294368
"HS.387224",0.695,0.387,0.8668696,-6.760678,0.0361358
"HS.545429",0.695,0.387,0.8668529,-6.760692,0.02271019
"HS.583868",0.695,0.387,0.8668338,-6.760709,0.02397524
"HS.176654",0.695,0.388,0.8667075,-6.760818,0.02545761
"LOC643630",0.695,0.388,-0.8666427,-6.760873,-0.0206979
"PBK",0.695,0.388,0.8666277,-6.760886,0.0249573
"DEFB125",0.695,0.388,0.8665162,-6.760983,0.02691479
"TMC5",0.695,0.388,0.8665108,-6.760987,0.03740557
"TMEM123",0.695,0.388,0.8664714,-6.761021,0.04329888
"HS.558261",0.695,0.388,-0.8664349,-6.761053,-0.02147372
"HS.543572",0.695,0.388,0.8662778,-6.761188,0.02231859
"HS.574192",0.695,0.388,0.8661608,-6.761289,0.02253405
"HS.545279",0.695,0.388,0.8659538,-6.761468,0.02111905
"HS.565473",0.695,0.388,-0.8659518,-6.761469,-0.02037406
"HS.535826",0.695,0.388,-0.865925,-6.761492,-0.02255961
"HS.572999",0.695,0.388,0.8659146,-6.761501,0.02037925
"LOC653252",0.695,0.388,-0.8658712,-6.761539,-0.02041672
"LOC390570",0.695,0.388,-0.8657845,-6.761613,-0.02243172
"LOC730995",0.695,0.388,0.8657662,-6.761629,0.04209738
"EVC2",0.695,0.388,0.8656692,-6.761713,0.02502761
"LOC648069",0.695,0.388,0.865532,-6.761831,0.02522563
"HS.374221",0.696,0.388,0.8654305,-6.761918,0.02536631
"HS.97763",0.696,0.388,-0.865405,-6.761941,-0.01821884
"HS.437802",0.696,0.388,0.8652739,-6.762053,0.02194539
"HS.543576",0.696,0.388,-0.8652486,-6.762075,-0.02580714
"LOC642980",0.696,0.388,0.8652165,-6.762103,0.01863388
"PHLDB3",0.696,0.388,-0.8651374,-6.762171,-0.03152707
"LRRFIP1",0.696,0.388,-0.8650898,-6.762212,-0.0656118
"GJD4",0.696,0.388,0.8649829,-6.762304,0.02009539
"FA2H",0.696,0.389,0.8648558,-6.762413,0.02052387
"TMEM105",0.696,0.389,0.864718,-6.762532,0.02374266
"HIGD2BP",0.696,0.389,0.8646149,-6.762621,0.0141699
"HS.106554",0.696,0.389,0.8645449,-6.762681,0.02175305
"CA4",0.696,0.389,0.8645223,-6.762701,0.10833121
"LOC253573",0.696,0.389,0.8643682,-6.762833,0.02607807
"HS.570192",0.696,0.389,0.8643628,-6.762838,0.02160033
"GTF2F1",0.696,0.389,0.8643326,-6.762864,0.03432686
"LOC123876",0.696,0.389,-0.864251,-6.762934,-0.022639
"KU-MEL-3",0.696,0.389,-0.8640916,-6.763071,-0.02276795
"C18ORF16",0.696,0.389,0.8640812,-6.76308,0.02033822
"LOC651476",0.696,0.389,-0.8639518,-6.763191,-0.02965306
"HS.538871",0.696,0.389,-0.8639204,-6.763218,-0.02351519
"LOC649396",0.697,0.389,0.8637123,-6.763397,0.0259688
"ALOXE3",0.697,0.389,-0.8636875,-6.763419,-0.02123464
"HS.150808",0.697,0.389,-0.863597,-6.763496,-0.02345883
"HS.148435",0.697,0.389,-0.8635533,-6.763534,-0.02085838
"RPS4X",0.697,0.389,0.8634208,-6.763648,0.05119639
"HS.567015",0.697,0.389,-0.8633511,-6.763708,-0.02056639
"FLJ30375",0.697,0.389,-0.8632007,-6.763837,-0.02227643
"HS.540710",0.697,0.389,-0.8631827,-6.763853,-0.01956061
"DKFZP686O1327",0.697,0.389,0.8631774,-6.763857,0.01806381
"CLDN8",0.697,0.389,0.863171,-6.763863,0.01893626
"LOC401010",0.697,0.39,0.8629253,-6.764074,0.02041084
"LOC643391",0.697,0.39,-0.8628862,-6.764107,-0.02587036
"HS.233134",0.697,0.39,-0.8627791,-6.764199,-0.01811954
"HS.537451",0.697,0.39,0.8627718,-6.764205,0.02037316
"LOC649025",0.697,0.39,-0.8627462,-6.764227,-0.01913767
"GSTA1",0.697,0.39,-0.8627276,-6.764243,-0.01916885
"HS.546373",0.697,0.39,0.8626859,-6.764279,0.02110542
"HS.563268",0.697,0.39,-0.862538,-6.764406,-0.0181834
"HS.571241",0.697,0.39,0.8624715,-6.764463,0.02610764
"HS.210308",0.697,0.39,-0.8623586,-6.76456,-0.02072294
"LOC649749",0.697,0.39,-0.8623423,-6.764574,-0.02068081
"LOC652231",0.697,0.39,0.8623294,-6.764585,0.02415802
"GPR88",0.697,0.39,-0.8622987,-6.764612,-0.0224443
"LOC650146",0.697,0.39,0.8622233,-6.764676,0.02381397
"ABCC12",0.697,0.39,-0.8621755,-6.764717,-0.02676335
"ANKK1",0.697,0.39,-0.8621248,-6.764761,-0.01952291
"NOS1",0.697,0.39,0.862119,-6.764766,0.01985739
"CDX4",0.697,0.39,0.8620929,-6.764788,0.02765869
"OR9A4",0.697,0.39,-0.862068,-6.76481,-0.02588706
"HS.545706",0.697,0.39,-0.8620524,-6.764823,-0.02211624
"HS.574007",0.697,0.39,-0.8620056,-6.764863,-0.02067341
"HS.545826",0.697,0.39,0.8618699,-6.76498,0.02448434
"HS.539551",0.697,0.39,-0.8618103,-6.765031,-0.02403365
"BAGE",0.697,0.39,0.861803,-6.765037,0.02475474
"HS.581101",0.697,0.39,0.8617688,-6.765066,0.02350671
"HS.128031",0.697,0.39,0.8617139,-6.765113,0.02258509
"GBL",0.697,0.39,0.8616421,-6.765175,0.02798504
"PIGL",0.697,0.39,-0.8616187,-6.765195,-0.02257146
"KIAA1166",0.697,0.39,-0.8615563,-6.765249,-0.02633051
"HS.552287",0.698,0.39,-0.8613308,-6.765442,-0.02002367
"KRTAP15-1",0.698,0.39,0.8612699,-6.765494,0.02474288
"LOC646496",0.698,0.391,-0.8612302,-6.765528,-0.01980779
"EMR1",0.698,0.391,0.8611783,-6.765573,0.02208327
"LOC644422",0.698,0.391,0.861084,-6.765654,0.04473158
"LOC645201",0.698,0.391,-0.8610836,-6.765654,-0.02380203
"ZNF709",0.698,0.391,-0.8609627,-6.765758,-0.02174095
"HS.544845",0.698,0.391,0.8609596,-6.76576,0.02333722
"HS.563570",0.698,0.391,0.8609199,-6.765794,0.02158764
"SLC29A4",0.698,0.391,-0.8609075,-6.765805,-0.0344849
"SNRPB2",0.698,0.391,0.8608728,-6.765835,0.02668929
"HS.578149",0.698,0.391,0.8607584,-6.765933,0.0207254
"HS.540043",0.698,0.391,-0.8607209,-6.765965,-0.02087224
"C1ORF65",0.698,0.391,0.8606119,-6.766058,0.02182385
"SGOL2",0.698,0.391,-0.8605721,-6.766092,-0.01667662
"LOC650850",0.698,0.391,0.8605373,-6.766122,0.02304249
"NCOA4",0.698,0.391,0.8603876,-6.76625,0.04520874
"C17ORF82",0.698,0.391,-0.8603191,-6.766309,-0.0245863
"HS.560397",0.698,0.391,0.8603149,-6.766313,0.01943062
"VPREB1",0.698,0.391,-0.8603128,-6.766314,-0.01830786
"HS.259220",0.698,0.391,0.8602456,-6.766372,0.02000909
"IPO7",0.698,0.391,-0.8602448,-6.766373,-0.05700567
"HS.538050",0.698,0.391,0.8602172,-6.766396,0.01963506
"HS.578480",0.698,0.391,-0.860164,-6.766442,-0.02077709
"HS.517224",0.698,0.391,0.8601509,-6.766453,0.02031533
"DPF1",0.698,0.391,-0.8600526,-6.766537,-0.02323642
"HS.541324",0.698,0.391,-0.86005,-6.766539,-0.01906615
"HS.61151",0.698,0.391,0.8600073,-6.766576,0.02038401
"C1GALT1C1",0.698,0.391,0.860004,-6.766579,0.03179248
"HS.547825",0.698,0.391,-0.8596593,-6.766874,-0.02251418
"MAP3K4",0.698,0.391,-0.8596177,-6.76691,-0.03547726
"HS.124514",0.698,0.392,-0.8594151,-6.767083,-0.0250093
"HS.565700",0.699,0.392,-0.8592782,-6.7672,-0.02240747
"DENND4C",0.699,0.392,-0.8592322,-6.767239,-0.03264296
"DLX6",0.699,0.392,0.8591832,-6.767281,0.02127758
"OR5AS1",0.699,0.392,0.8591663,-6.767296,0.01920809
"HS.548227",0.699,0.392,-0.8591278,-6.767329,-0.02255494
"HS.372922",0.699,0.392,-0.8590761,-6.767373,-0.0219969
"CCDC120",0.699,0.392,0.8590714,-6.767377,0.02660112
"LRRC7",0.699,0.392,-0.8589405,-6.767489,-0.02167171
"FIGF",0.699,0.392,0.8588741,-6.767546,0.05217192
"MDS1",0.699,0.392,-0.8588696,-6.767549,-0.03053082
"STC2",0.699,0.392,-0.8588087,-6.767602,-0.07160262
"ZSCAN20",0.699,0.392,0.8587789,-6.767627,0.0237857
"LOC651936",0.699,0.392,0.8586582,-6.76773,0.02173294
"HS.47037",0.699,0.392,0.8586381,-6.767747,0.02468192
"HS.563737",0.699,0.392,0.8584979,-6.767867,0.02207334
"LOC119358",0.699,0.392,0.8582709,-6.768061,0.0214835
"HS.574287",0.699,0.392,0.8582338,-6.768093,0.02132992
"LOC731000",0.699,0.392,0.8581809,-6.768138,0.0138145
"DKFZP434I1020",0.699,0.392,-0.8581763,-6.768142,-0.01714965
"HS.572223",0.699,0.392,0.8581644,-6.768152,0.02342802
"LOC388965",0.699,0.392,-0.8581204,-6.76819,-0.02158052
"OR5B12",0.699,0.392,0.8580441,-6.768255,0.01935343
"LOC646226",0.699,0.392,-0.858038,-6.76826,-0.02618227
"TMTC3",0.699,0.392,0.8580274,-6.768269,0.0307699
"HS.568423",0.699,0.392,-0.8579568,-6.768329,-0.02416738
"CCDC33",0.699,0.392,-0.8579501,-6.768335,-0.02539121
"LOC642439",0.699,0.392,0.8577917,-6.76847,0.01945053
"GABRA5",0.699,0.393,-0.8575439,-6.768682,-0.01462892
"DNAJB13",0.699,0.393,0.8575421,-6.768684,0.03021071
"SLC30A8",0.699,0.393,-0.8575338,-6.768691,-0.02080588
"SHQ1",0.699,0.393,-0.8574326,-6.768777,-0.0356805
"LOC650239",0.699,0.393,-0.8573378,-6.768858,-0.01339306
"ZNF705A",0.7,0.393,0.8571665,-6.769004,0.01936023
"LOC647971",0.7,0.393,-0.8571618,-6.769008,-0.0203616
"HS.255086",0.7,0.393,-0.8571613,-6.769009,-0.0244569
"LOC387761",0.7,0.393,-0.8571165,-6.769047,-0.02273476
"LOC728127",0.7,0.393,0.8569574,-6.769183,0.0240756
"HS.542610",0.7,0.393,-0.856744,-6.769365,-0.02207818
"SMYD3",0.7,0.393,-0.8567275,-6.769379,-0.03279348
"CRISP3",0.7,0.393,0.8567111,-6.769393,0.02076779
"CYP26C1",0.7,0.393,-0.8566309,-6.769461,-0.02527534
"C9ORF71",0.7,0.393,0.8565373,-6.769541,0.02031185
"HS.578993",0.7,0.393,-0.8565002,-6.769573,-0.02063174
"GPR15",0.7,0.393,-0.8564309,-6.769632,-0.02199553
"LOC650268",0.7,0.393,-0.8562282,-6.769804,-0.02272696
"FLJ33360",0.7,0.393,-0.8561922,-6.769835,-0.02334637
"ZNF382",0.7,0.393,-0.856175,-6.76985,-0.02258547
"GRTP1",0.7,0.393,-0.8561296,-6.769888,-0.02047585
"HS.561595",0.7,0.393,-0.8560984,-6.769915,-0.0235589
"MAGI2",0.7,0.393,0.8560905,-6.769922,0.03096328
"HS.382012",0.7,0.393,0.8560718,-6.769938,0.02127415
"LOC650238",0.7,0.393,0.8559512,-6.770041,0.02160647
"HS.542127",0.7,0.394,0.855794,-6.770174,0.02719439
"HMG4L",0.7,0.394,-0.8557054,-6.77025,-0.02448789
"LOC653680",0.7,0.394,-0.8556554,-6.770293,-0.02676502
"POU3F2",0.7,0.394,-0.8556534,-6.770294,-0.01590913
"INHBC",0.7,0.394,0.8556213,-6.770322,0.01927341
"HS.545699",0.7,0.394,0.8555329,-6.770397,0.02540768
"HS.548339",0.7,0.394,-0.8555324,-6.770397,-0.02211055
"HS.500448",0.7,0.394,-0.8555187,-6.770409,-0.02445923
"ZNF563",0.7,0.394,-0.8555073,-6.770419,-0.03392264
"HS.545393",0.7,0.394,-0.8555041,-6.770421,-0.02124382
"HS.548458",0.7,0.394,-0.8553641,-6.770541,-0.01900537
"LOC647131",0.7,0.394,0.8552408,-6.770646,0.02191572
"HS.578123",0.7,0.394,0.855177,-6.7707,0.01923289
"LOC650651",0.7,0.394,-0.8551547,-6.770719,-0.02149504
"HS.307606",0.7,0.394,0.8551345,-6.770736,0.02576076
"HS.170646",0.7,0.394,-0.8551072,-6.770759,-0.0242391
"HS.551271",0.701,0.394,0.8548665,-6.770964,0.02180633
"HIC1",0.701,0.394,-0.8548286,-6.770997,-0.02499674
"HS.563764",0.701,0.394,-0.8547315,-6.771079,-0.02150143
"LOC646037",0.701,0.394,0.8546937,-6.771111,0.0185457
"HS.543445",0.701,0.394,0.8545687,-6.771218,0.01969167
"LOC644571",0.701,0.394,-0.8545526,-6.771231,-0.02328389
"USP26",0.701,0.394,-0.8544996,-6.771276,-0.03068262
"HS.124672",0.701,0.394,0.8543696,-6.771387,0.02172092
"VEZF1",0.701,0.394,-0.8543298,-6.771421,-0.03617201
"HS.131297",0.701,0.394,0.8543217,-6.771428,0.02048945
"HOXC10",0.701,0.394,-0.8543139,-6.771434,-0.02271157
"HS.544681",0.701,0.394,-0.854277,-6.771466,-0.01971321
"LOC731035",0.701,0.394,0.8542688,-6.771473,0.03000239
"NOB1",0.701,0.394,-0.8542325,-6.771504,-0.03151721
"FLJ45537",0.701,0.394,0.8541096,-6.771608,0.01783004
"LOC390856",0.701,0.394,0.8540675,-6.771644,0.01822006
"HS.121185",0.701,0.395,-0.8537697,-6.771897,-0.02184709
"UPK1A",0.701,0.395,0.8537511,-6.771913,0.02399297
"HS.245002",0.701,0.395,-0.8536943,-6.771961,-0.0231252
"HS.563816",0.701,0.395,0.8536795,-6.771974,0.0209699
"HS.541858",0.701,0.395,0.8536496,-6.771999,0.02605605
"TRNT1",0.701,0.395,-0.8536442,-6.772004,-0.02684829
"LOC441869",0.701,0.395,-0.853643,-6.772005,-0.02023468
"LOC652806",0.701,0.395,0.8536376,-6.772009,0.02101957
"EDAR",0.701,0.395,-0.8535885,-6.772051,-0.0197563
"HS.581035",0.701,0.395,-0.8534748,-6.772148,-0.02716506
"TNNT2",0.701,0.395,0.8534686,-6.772153,0.03790539
"LOC728089",0.701,0.395,0.8534453,-6.772173,0.02219911
"HS.571228",0.701,0.395,0.85343,-6.772186,0.02195701
"HS.563291",0.701,0.395,-0.8534181,-6.772196,-0.02179793
"PROKR1",0.701,0.395,0.8533401,-6.772262,0.02359747
"LOC647591",0.701,0.395,0.8532882,-6.772306,0.02272088
"HS.85445",0.701,0.395,0.8532244,-6.77236,0.02136136
"TMEM16D",0.701,0.395,0.8531402,-6.772432,0.01976345
"PDZK1",0.701,0.395,0.8530983,-6.772468,0.01303775
"HS.147198",0.701,0.395,0.853078,-6.772485,0.01953962
"MAGEB10",0.701,0.395,0.8528551,-6.772674,0.02520612
"HS.199614",0.702,0.395,0.8527024,-6.772804,0.02244993
"FLJ35934",0.702,0.395,0.8526634,-6.772837,0.02387573
"OR2T8",0.702,0.395,0.8526357,-6.77286,0.02922981
"UXS1",0.702,0.395,0.8525704,-6.772916,0.04223351
"PDCD4",0.702,0.395,-0.852423,-6.773041,-0.04300527
"IL33",0.702,0.395,0.8524061,-6.773055,0.04783093
"HS.542884",0.702,0.395,-0.852343,-6.773109,-0.02171143
"HS.576906",0.702,0.395,0.8523427,-6.773109,0.02130859
"DSG3",0.702,0.395,-0.8523329,-6.773117,-0.0195411
"LOC649189",0.702,0.395,-0.8523273,-6.773122,-0.01944029
"HS.481491",0.702,0.396,0.8521599,-6.773264,0.02127746
"LOC730804",0.702,0.396,-0.8521327,-6.773287,-0.01747987
"HS.66049",0.702,0.396,0.8520459,-6.773361,0.03242943
"HS.127905",0.702,0.396,0.8518204,-6.773552,0.02167685
"CDYL2",0.702,0.396,-0.8518175,-6.773555,-0.02130725
"PHF7",0.702,0.396,0.8516905,-6.773662,0.01233813
"HS.562520",0.702,0.396,-0.8516894,-6.773663,-0.0216978
"C1ORF94",0.702,0.396,-0.851674,-6.773676,-0.02084093
"HS.582729",0.702,0.396,0.8515972,-6.773741,0.01920664
"PFDN2",0.702,0.396,0.851501,-6.773823,0.0393739
"LOC728269",0.702,0.396,0.8514976,-6.773826,0.0162031
"C4ORF11",0.702,0.396,-0.8514608,-6.773857,-0.02715071
"LOC653894",0.702,0.396,-0.8513014,-6.773992,-0.01949619
"CD2",0.702,0.396,-0.8512887,-6.774003,-0.03108732
"HS.563860",0.702,0.396,0.8512584,-6.774029,0.01964761
"TBX2",0.702,0.396,-0.8512122,-6.774068,-0.0637365
"KRTHA5",0.702,0.396,0.8511882,-6.774088,0.01986771
"HS.561644",0.702,0.396,0.8510651,-6.774192,0.03234073
"GK5",0.702,0.396,0.8509155,-6.774319,0.03128809
"LOC647911",0.702,0.396,0.850841,-6.774382,0.0299615
"HS.508885",0.702,0.396,0.8508031,-6.774414,0.02056777
"HS.120542",0.702,0.396,-0.8507097,-6.774493,-0.01870638
"HS.412543",0.703,0.396,-0.8506445,-6.774549,-0.02034402
"HS.369401",0.703,0.396,0.8504951,-6.774675,0.02262167
"C20ORF141",0.703,0.396,-0.8504454,-6.774717,-0.02156626
"HS.549460",0.703,0.396,0.8504438,-6.774719,0.01974351
"HS.147224",0.703,0.396,0.8504089,-6.774748,0.01945836
"LOC652540",0.703,0.397,-0.8503044,-6.774837,-0.02066898
