"","adj.P.Val","P.Value","t","B","logFC"
"C7ORF20",0.000479,5.99e-05,-4.1330231,0.946499,-0.09200173
"IRX4",0.00048,6e-05,-4.1325602,0.944785,-0.26057641
"SRXN1",0.000481,6.01e-05,-4.1320198,0.942784,-0.28562027
"KIAA0892",0.000483,6.04e-05,4.1308299,0.93838,0.22162335
"CASP1",0.000487,6.08e-05,-4.1289085,0.93127,-0.16699424
"MCM4",0.000488,6.1e-05,4.1280494,0.928092,0.16905599
"WDR91",0.000489,6.11e-05,4.1276319,0.926548,0.12598619
"SLC25A5",0.000489,6.12e-05,4.1275258,0.926155,0.25808902
"DUSP3",0.000494,6.18e-05,4.1246773,0.915622,0.28009603
"RTN4IP1",0.000496,6.21e-05,4.1235348,0.911399,0.21955024
"NDUFB4",0.000496,6.21e-05,4.1234951,0.911252,0.09355506
"KIFAP3",0.000497,6.22e-05,4.1232325,0.910282,0.267215
"UBD",0.000498,6.23e-05,-4.122641,0.908096,-0.21897135
"HPSE",0.000498,6.23e-05,-4.1226358,0.908077,-0.09284172
"NKX2-5",5e-04,6.26e-05,-4.1216213,0.904329,-0.2749811
"FLJ39639",0.000501,6.28e-05,4.120691,0.900892,0.13102059
"MAPK3",0.000502,6.29e-05,-4.1204215,0.899896,-0.18146444
"HS.489254",0.000505,6.33e-05,4.1185159,0.892859,0.19223404
"GTPBP8",0.000507,6.35e-05,4.1177286,0.889952,0.19130229
"B4GALT4",0.000507,6.36e-05,-4.1176288,0.889584,-0.10979422
"HS.560343",0.000507,6.36e-05,4.1175155,0.889166,0.16527508
"GMIP",0.000508,6.37e-05,-4.1169556,0.887099,-0.13974294
"LOC641978",0.000509,6.38e-05,4.1165754,0.885695,0.10641604
"C3ORF38",0.000509,6.39e-05,4.1162405,0.884459,0.1603299
"C21ORF122",0.000511,6.42e-05,4.1151912,0.880587,0.17717704
"TCN2",0.000511,6.42e-05,-4.1151382,0.880392,-0.19880736
"LASS6",0.000512,6.43e-05,4.1148095,0.879179,0.24173861
"CD4",0.000512,6.43e-05,-4.1147432,0.878934,-0.12003613
"REEP1",0.000512,6.43e-05,4.1146384,0.878548,0.2515465
"FLJ23834",0.000512,6.43e-05,-4.1145653,0.878278,-0.22271297
"CENTG2",0.000512,6.44e-05,-4.1142994,0.877297,-0.19428345
"HIST3H2A",0.000515,6.47e-05,4.1131247,0.872963,0.38331383
"ITGA10",0.000515,6.47e-05,4.1130418,0.872657,0.31905349
"RAB6A",0.000519,6.52e-05,4.1109383,0.8649,0.15287272
"GCNT1",0.000519,6.53e-05,-4.1108685,0.864643,-0.08346612
"JTB",0.000524,6.6e-05,-4.1081052,0.854458,-0.23709306
"MXRA7",0.000526,6.62e-05,4.1072137,0.851173,0.18822383
"HS.534439",0.000529,6.65e-05,-4.1058417,0.846119,-0.11333147
"RXRA",0.00053,6.67e-05,-4.1050506,0.843205,-0.22178147
"PRPF40B",0.000531,6.68e-05,4.1046419,0.8417,0.10467485
"C3ORF19",0.000531,6.69e-05,4.1046044,0.841562,0.1633181
"RFTN2",0.000531,6.69e-05,4.1045446,0.841342,0.22758854
"ZNF266",0.000531,6.69e-05,4.1045048,0.841195,0.09822494
"LOC644869",0.000531,6.7e-05,4.1042063,0.840096,0.15568318
"TLR5",0.000532,6.7e-05,-4.1039288,0.839074,-0.15335614
